vendorid2,paymenttype1,paymenttype2,pulocationid237,pulocationid161,pulocationid236,pulocationid186,pulocationid162,dolocationid161,dolocationid236,dolocationid237,dolocationid230,dolocationid170,passengercount,tripdistance,fareamount,extra,mtatax,tipamount,tollsamount,improvementsurcharge,totalamount,tpeppickupdatetimehour0,tpeppickupdatetimehour1,tpeppickupdatetimehour2,tpepdropoffdatetimehour0,tpepdropoffdatetimehour1,tpepdropoffdatetimehour2,duration
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.59,5.0,1.0,0.5,1.36,0.0,0.3,8.16,0,0,1,0,0,1,300.0
0,1,0,0,0,0,0,0,0,0,0,1,0,1,1.5,8.5,1.0,0.5,2.55,0.0,0.3,12.85,0,0,1,0,0,1,596.0
1,0,1,0,0,0,0,1,0,0,0,0,0,4,1.71,10.5,0.0,0.5,0.0,0.0,0.3,11.3,0,1,0,0,1,0,900.0
1,0,1,0,0,0,0,0,0,0,0,0,0,6,2.69,11.0,0.5,0.5,0.0,0.0,0.3,12.3,1,0,0,1,0,0,660.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.42,3.5,0.0,0.5,0.86,0.0,0.3,5.16,1,0,0,1,0,0,84.0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.2,10.5,1.0,0.5,0.0,0.0,0.3,12.3,0,1,0,0,1,0,780.0
0,0,1,0,0,0,0,0,0,0,1,0,0,2,2.6,17.5,0.0,0.5,0.0,0.0,0.3,18.3,0,1,0,0,1,0,1680.0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.8,4.5,1.0,0.5,1.26,0.0,0.3,7.56,0,0,1,0,0,1,197.0
0,0,1,0,0,0,0,0,0,0,0,0,0,1,2.9,16.0,0.0,0.5,0.0,0.0,0.3,16.8,0,1,0,0,1,0,1380.0
0,1,0,0,0,0,0,0,1,0,0,0,0,1,2.7,15.5,0.0,0.5,4.05,0.0,0.3,20.35,0,1,0,0,1,0,1320.0
