trip_distance,tip_amount,total_amount,seconds
1.1,1.45,14.700808153250637,324.0
2.14,0.0,14.700808153250637,901.0
1.4,1.45,14.700808153250637,403.0
1.0,0.0,14.700808153250637,294.0
1.84,0.0,14.700808153250637,415.0
0.55,1.2,14.700808153250637,180.0
0.3,0.0,14.700808153250637,120.00000000000001
1.39,2.2,14.700808153250637,520.0
1.5,0.0,14.700808153250637,960.0000000000001
1.1,0.0,14.700808153250637,360.0
0.5,1.05,14.700808153250637,260.0
1.57,2.66,15.96,1114.0
1.03,1.26,14.700808153250637,149.0
11.51,0.0,46.06,2206.0
0.65,0.0,14.700808153250637,240.00000000000003
2.8,3.2,24.5,2023.0000000000002
6.14,0.0,25.8,1800.0
15.6,11.6,69.66,3180.0
1.5,3.95,17.25,1079.0
7.0,3.0,27.3,1260.0
2.6,3.0,15.3,707.0
3.1,1.0,16.8,1151.0
0.23,0.0,52.8,60.00000000000001
2.1,2.65,15.95,1020.0000000000001
1.97,0.0,14.700808153250637,995.0000000000001
4.67,3.56,21.36,900.0
4.31,3.76,22.56,1341.0
0.84,0.0,14.700808153250637,420.0
2.34,2.36,14.700808153250637,660.0
1.04,0.0,14.700808153250637,190.0
2.84,2.96,17.76,1129.0
0.3,0.0,14.700808153250637,251.00000000000003
3.9,0.0,20.3,1649.0
5.27,0.0,22.8,1560.0
3.3,2.85,17.15,949.0000000000001
16.9,0.0,72.3,6323.0
1.4,1.65,14.700808153250637,382.0
18.05,0.0,80.8,2270.0
0.47,1.36,14.700808153250637,275.0
2.3,2.76,16.56,1080.0
8.32,5.0,38.06,1244.0
0.95,1.02,14.700808153250637,240.00000000000003
0.66,1.0,14.700808153250637,450.0
3.8,3.15,18.95,900.0
2.4,3.05,15.35,780.0
4.24,4.66,27.96,2078.0
1.77,0.0,14.700808153250637,720.0
2.4,3.25,19.55,1334.0
2.5,0.0,14.700808153250637,1020.0000000000001
15.2,5.0,48.3,1926.0000000000002
2.5,1.5,14.700808153250637,544.0
0.99,3.0,14.700808153250637,300.0
2.2,1.6,14.700808153250637,720.0
3.3,4.75,28.55,2216.0
1.13,0.0,14.700808153250637,420.0
0.43,0.96,14.700808153250637,120.00000000000001
1.72,0.0,14.700808153250637,339.0
3.2,2.0,19.8,1355.0
10.01,8.89,44.45,1250.0
0.8,2.3,14.700808153250637,300.0
1.35,1.0,14.700808153250637,337.0
3.85,0.0,22.3,2041.0000000000002
1.6,0.0,14.700808153250637,1206.0
4.2,0.0,22.8,1794.0
2.1,1.25,14.700808153250637,468.00000000000006
0.78,2.96,17.76,1266.0
0.74,1.16,14.700808153250637,180.0
0.99,1.0,14.700808153250637,467.00000000000006
1.3,0.0,14.700808153250637,420.0
2.21,1.7,14.700808153250637,735.0
1.9,2.0,15.3,1026.0
1.32,1.1,14.700808153250637,407.0
0.5,0.0,14.700808153250637,536.0
4.93,2.0,22.8,1593.0
1.4,1.75,14.700808153250637,475.00000000000006
2.52,3.96,23.76,1620.0
2.69,0.0,14.700808153250637,960.0000000000001
1.5,1.0,14.700808153250637,660.0
1.36,2.26,14.700808153250637,900.0
1.52,2.46,14.76,1020.0000000000001
4.5,0.0,15.8,802.0
13.61,11.16,66.96,4440.0
4.5,0.0,19.8,1378.0
1.1,1.65,14.700808153250637,498.00000000000006
1.29,1.46,14.700808153250637,288.0
1.54,0.0,14.700808153250637,480.00000000000006
1.3,0.0,14.700808153250637,390.0
1.0,1.55,14.700808153250637,480.00000000000006
1.3,1.95,14.700808153250637,670.0
0.7,0.0,14.700808153250637,250.00000000000003
1.1,2.0,14.700808153250637,480.00000000000006
1.24,1.56,14.700808153250637,420.0
8.18,5.36,32.16,1516.0
1.7,1.0,14.700808153250637,720.0
1.36,1.76,14.700808153250637,600.0
2.19,0.0,14.700808153250637,1020.0000000000001
1.25,1.96,14.700808153250637,607.0
1.42,2.82,14.700808153250637,875.0
0.45,0.0,14.700808153250637,153.0
6.7,0.0,20.8,697.0
2.3,2.3,14.700808153250637,580.0
1.15,1.56,14.700808153250637,480.00000000000006
0.68,0.0,14.700808153250637,388.0
15.89,10.0,69.56,3540.0
5.04,0.0,21.8,1579.0
1.46,3.69,15.99,905.0
1.0,0.0,14.700808153250637,739.0
0.0,0.0,14.700808153250637,10.0
18.93,0.0,52.8,1740.0
0.6,0.0,14.700808153250637,329.0
15.48,8.0,59.56,3031.0
1.1,0.0,14.700808153250637,373.0
3.8,0.0,16.3,930.0000000000001
6.02,0.0,20.8,973.0000000000001
1.8,0.0,14.700808153250637,540.0
1.74,1.76,14.700808153250637,293.0
0.2,0.0,14.700808153250637,252.00000000000003
2.06,2.16,14.700808153250637,679.0
1.2,0.0,14.700808153250637,660.0
0.51,0.0,14.700808153250637,577.0
1.65,0.0,14.700808153250637,524.0
0.6,0.0,14.700808153250637,155.0
1.12,0.0,14.700808153250637,453.0
3.7,0.0,26.3,2495.0
1.52,0.0,14.700808153250637,600.0
1.36,1.66,14.700808153250637,465.00000000000006
5.0,0.0,21.8,1740.0
0.76,0.0,14.700808153250637,310.0
2.15,2.16,14.700808153250637,726.0
0.67,1.0,14.700808153250637,420.0
1.7,0.0,14.8,1320.0
5.2,0.0,19.3,1020.0000000000001
0.48,0.0,14.700808153250637,199.0
2.1,1.85,14.700808153250637,360.0
2.16,3.26,19.56,1440.0
1.4,1.0,14.700808153250637,594.0
4.33,5.79,25.09,1314.0
16.48,9.46,56.76,1920.0000000000002
4.9,4.45,26.75,1491.0
2.81,2.0,15.3,780.0
2.4,0.0,14.700808153250637,714.0
0.6,1.4,14.700808153250637,114.0
1.01,0.0,14.700808153250637,244.00000000000003
6.0,3.0,23.8,1101.0
0.61,1.26,14.700808153250637,300.0
2.0,2.0,14.700808153250637,903.0
1.89,0.0,14.700808153250637,582.0
2.24,2.0,15.8,967.0000000000001
1.9,3.2,16.0,1020.0000000000001
1.16,0.0,14.700808153250637,480.00000000000006
0.5,0.0,14.700808153250637,368.0
2.6,0.0,18.8,1511.0
0.0,0.0,14.700808153250637,0.0
1.21,1.56,14.700808153250637,480.00000000000006
4.4,3.38,22.18,1052.0
0.54,1.0,14.700808153250637,300.0
7.32,5.06,30.36,1320.0
1.4,0.0,14.700808153250637,335.0
2.81,2.66,15.96,960.0000000000001
0.92,1.46,14.700808153250637,371.0
1.9,2.55,15.35,960.0000000000001
0.62,0.0,14.700808153250637,180.0
2.1,0.0,14.700808153250637,500.00000000000006
0.24,0.86,14.700808153250637,60.00000000000001
1.39,3.7,18.5,1212.0
3.5,2.0,23.3,1800.0
0.84,2.08,14.700808153250637,485.00000000000006
2.68,2.46,14.76,855.0
10.91,7.81,46.87,1731.0
4.5,0.0,24.3,2280.0
1.4,1.95,14.700808153250637,651.0
2.0,1.95,14.700808153250637,480.00000000000006
0.4,0.0,14.700808153250637,60.00000000000001
0.6,1.26,14.700808153250637,360.0
0.9,0.0,14.700808153250637,449.0
0.12,0.0,14.700808153250637,29.000000000000004
1.22,0.0,14.700808153250637,540.0
17.86,0.0,94.8,3565.0
1.7,2.7,14.700808153250637,840.0
0.7,0.0,14.700808153250637,518.0
0.0,0.0,14.700808153250637,9.0
1.42,1.0,14.700808153250637,846.0
0.9,1.2,14.700808153250637,323.0
8.8,0.0,29.8,1698.0
0.02,0.0,14.700808153250637,10.0
1.28,0.0,14.700808153250637,950.0000000000001
0.4,0.34,14.700808153250637,445.0
0.79,0.0,14.700808153250637,227.0
1.7,1.96,14.700808153250637,602.0
2.19,2.82,14.700808153250637,595.0
0.9,0.0,14.700808153250637,540.0
1.0,1.96,14.700808153250637,772.0
2.5,3.95,17.25,871.0
3.42,3.26,19.56,1260.0
1.7,0.0,14.700808153250637,972.0000000000001
2.42,1.0,14.700808153250637,840.0
2.89,0.0,14.700808153250637,480.00000000000006
0.64,1.26,14.700808153250637,220.0
2.0,2.15,14.700808153250637,667.0
1.97,3.08,15.38,843.0
1.03,0.0,14.700808153250637,260.0
1.77,1.0,14.700808153250637,840.0
8.6,7.65,45.99,2344.0
1.0,1.45,14.700808153250637,401.0
0.9,0.0,14.700808153250637,135.0
13.31,5.0,46.8,2395.0
5.29,4.96,29.76,2075.0
1.5,1.95,14.700808153250637,633.0
7.48,2.0,26.8,1297.0
1.6,3.76,22.56,1800.0
6.98,8.34,36.14,1920.0000000000002
4.33,4.66,27.96,1871.0000000000002
4.6,0.0,15.8,660.0
0.8,1.45,14.700808153250637,480.00000000000006
2.0,2.35,14.700808153250637,776.0
0.42,0.87,14.700808153250637,240.00000000000003
3.2,0.0,16.3,1273.0
18.17,0.0,52.8,2446.0
1.2,0.0,14.700808153250637,960.0000000000001
1.7,1.62,14.700808153250637,747.0
0.68,1.06,14.700808153250637,106.0
0.6,0.0,14.700808153250637,300.0
2.1,0.0,14.700808153250637,660.0
1.4,0.0,15.8,1398.0
1.2,1.75,14.700808153250637,600.0
1.25,0.0,14.700808153250637,720.0
2.4,0.0,14.700808153250637,725.0
5.55,1.0,26.3,1920.0000000000002
0.9,1.96,14.700808153250637,624.0
4.44,3.82,19.12,600.0
7.66,4.0,34.3,2160.0
0.42,0.0,14.700808153250637,120.00000000000001
1.21,0.0,14.700808153250637,488.00000000000006
1.35,0.0,14.700808153250637,480.00000000000006
0.91,1.16,14.700808153250637,257.0
0.7,1.06,14.700808153250637,240.00000000000003
2.23,1.7,16.0,1080.0
3.39,2.96,17.76,960.0000000000001
0.41,0.0,14.700808153250637,180.0
2.66,2.56,15.36,861.0
17.99,14.64,73.2,1769.0
0.8,1.35,14.700808153250637,262.0
1.09,0.7,14.700808153250637,449.0
2.6,0.0,14.700808153250637,480.00000000000006
0.77,1.82,14.700808153250637,413.0
0.69,0.0,14.700808153250637,475.00000000000006
2.5,1.8,15.1,960.0000000000001
7.4,5.55,33.35,1680.0
3.5,2.75,21.05,1384.0
18.4,0.0,62.84,2390.0
1.46,2.16,14.700808153250637,660.0
1.1,1.5,14.700808153250637,526.0
1.2,1.55,14.700808153250637,389.0
1.0,0.0,14.700808153250637,398.0
0.75,1.26,14.700808153250637,300.0
0.7,1.56,14.700808153250637,540.0
4.5,3.45,20.75,1140.0
5.9,4.95,29.75,1847.0000000000002
0.84,1.46,14.700808153250637,420.0
0.7,1.0,14.700808153250637,765.0
9.2,3.0,32.8,1320.0
2.12,2.0,14.8,1020.0000000000001
3.1,3.15,18.95,1062.0
11.26,9.64,48.2,1383.0
0.8,1.65,14.700808153250637,540.0
2.94,2.96,17.76,1019.0000000000001
4.0,2.96,17.76,746.0
4.73,0.0,58.56,960.0000000000001
2.29,1.0,14.700808153250637,652.0
1.28,0.0,14.700808153250637,960.0000000000001
0.9,2.5,14.700808153250637,900.0
0.86,0.0,14.700808153250637,480.00000000000006
0.84,0.0,14.700808153250637,621.0
1.23,0.0,14.700808153250637,600.0
0.8,1.15,14.700808153250637,300.0
25.69,14.06,84.36,2706.0
0.58,0.0,14.700808153250637,253.00000000000003
0.2,0.0,14.700808153250637,155.0
0.9,1.15,14.700808153250637,180.0
0.61,2.19,14.700808153250637,480.00000000000006
0.84,0.0,14.700808153250637,630.0
0.8,1.35,14.700808153250637,260.0
1.75,1.2,14.700808153250637,420.0
0.3,0.0,14.700808153250637,122.00000000000001
1.89,0.0,14.700808153250637,360.0
0.0,6.7,14.700808153250637,27.0
0.8,1.74,14.700808153250637,240.00000000000003
1.1,0.0,14.700808153250637,378.0
1.14,0.0,14.700808153250637,555.0
2.19,3.99,17.29,1071.0
2.2,5.6,24.4,1713.0
7.9,7.95,39.75,2340.0
6.1,8.6,37.4,2460.0
15.0,0.0,42.8,1593.0
4.7,3.45,20.75,1077.0
3.63,2.86,17.16,720.0
1.0,2.0,14.700808153250637,300.0
1.48,1.0,14.700808153250637,600.0
0.5,0.95,14.700808153250637,158.0
10.7,6.75,40.55,1379.0
3.13,3.7,18.5,991.0000000000001
3.33,0.0,14.700808153250637,900.0
2.14,2.36,14.700808153250637,763.0
6.91,3.5,32.3,1980.0000000000002
0.7,0.0,14.700808153250637,482.00000000000006
2.53,3.45,17.25,900.0
0.25,0.96,14.700808153250637,134.0
1.41,1.0,14.700808153250637,780.0
2.5,3.25,19.55,1299.0
3.15,3.26,19.56,1229.0
18.21,0.0,58.56,2700.0
1.4,0.0,14.700808153250637,446.0
3.4,3.15,18.95,1140.0
1.82,2.0,14.700808153250637,522.0
0.8,1.36,14.700808153250637,384.0
1.93,2.66,15.96,1046.0
0.8,0.0,14.700808153250637,374.0
0.98,0.7,14.700808153250637,660.0
4.34,0.0,18.3,1302.0
5.2,2.0,21.3,1155.0
0.9,0.0,14.700808153250637,318.0
0.69,1.06,14.700808153250637,240.00000000000003
1.9,0.0,14.700808153250637,335.0
1.4,1.76,14.700808153250637,468.00000000000006
1.76,2.46,14.76,928.0000000000001
0.98,0.0,14.700808153250637,480.00000000000006
2.0,2.25,14.700808153250637,692.0
3.5,0.0,17.8,1124.0
1.6,0.0,14.700808153250637,528.0
17.27,0.0,58.56,2571.0
0.4,1.0,14.700808153250637,406.0
0.0,6.96,41.76,0.0
2.03,2.26,14.700808153250637,780.0
0.0,0.0,14.700808153250637,0.0
0.83,1.86,14.700808153250637,540.0
0.7,1.0,14.700808153250637,413.0
1.67,0.0,14.700808153250637,432.0
1.2,1.0,14.700808153250637,420.0
3.8,2.0,17.8,837.0
2.0,1.5,14.700808153250637,660.0
0.73,0.0,14.700808153250637,360.0
0.56,0.0,14.700808153250637,480.00000000000006
1.0,0.0,14.700808153250637,707.0
4.49,0.0,17.8,1020.0000000000001
1.14,2.0,17.25,1080.0
5.15,5.06,30.36,2029.0000000000002
0.86,0.0,14.700808153250637,305.0
3.01,1.5,14.700808153250637,561.0
2.34,2.16,14.700808153250637,586.0
2.25,0.0,14.8,1140.0
0.5,0.0,14.700808153250637,241.00000000000003
0.9,2.0,14.700808153250637,312.0
0.92,1.66,14.700808153250637,571.0
2.1,1.5,14.700808153250637,687.0
2.2,1.7,14.700808153250637,625.0
1.55,1.0,14.700808153250637,660.0
2.5,2.76,16.56,1068.0
0.77,0.94,14.700808153250637,240.00000000000003
12.9,0.0,40.3,1908.0000000000002
0.7,0.0,14.700808153250637,244.00000000000003
1.5,1.45,14.700808153250637,299.0
0.6,0.0,14.700808153250637,372.0
10.12,9.02,45.08,1080.0
1.5,0.0,14.700808153250637,938.0000000000001
1.0,1.8,14.700808153250637,415.0
0.8,1.35,14.700808153250637,362.0
3.23,0.0,14.700808153250637,994.0000000000001
0.6,1.55,14.700808153250637,501.00000000000006
4.2,5.75,25.05,1320.0
1.07,0.0,14.700808153250637,440.0
1.8,3.36,20.16,1493.0
0.94,0.87,14.700808153250637,234.00000000000003
0.8,1.95,14.700808153250637,420.0
13.26,0.0,45.06,2036.0000000000002
5.3,0.0,26.8,2323.0
1.14,1.0,14.700808153250637,422.0
12.0,0.0,36.3,1632.0
3.2,2.65,15.95,725.0
0.5,0.0,14.700808153250637,175.0
0.45,0.0,14.700808153250637,229.00000000000003
0.7,1.75,14.700808153250637,480.00000000000006
18.34,5.0,57.8,4295.0
5.14,6.32,31.62,2058.0
1.72,4.0,18.8,1279.0
5.15,5.0,26.3,1550.0
2.27,3.0,24.3,2057.0
0.36,0.96,14.700808153250637,120.00000000000001
8.89,5.86,35.16,1560.0
0.4,0.0,14.700808153250637,149.0
1.46,1.0,14.700808153250637,480.00000000000006
4.39,0.0,17.3,914.0000000000001
1.7,0.0,14.700808153250637,720.0
2.1,0.0,14.700808153250637,620.0
2.71,2.86,17.16,1019.0000000000001
3.05,4.45,22.25,1503.0
1.0,2.04,14.700808153250637,301.0
2.8,0.0,14.700808153250637,720.0
3.7,0.0,18.8,1380.0
0.8,1.25,14.700808153250637,228.0
2.0,2.45,14.75,960.0000000000001
1.0,0.0,14.700808153250637,420.0
0.7,0.0,14.700808153250637,478.00000000000006
1.36,0.0,14.700808153250637,720.0
1.3,0.0,14.700808153250637,355.0
1.3,0.0,14.700808153250637,360.0
1.6,2.75,16.55,1195.0
0.92,1.25,14.700808153250637,742.0
2.26,1.96,14.700808153250637,420.0
1.86,0.0,14.700808153250637,511.00000000000006
0.91,1.36,14.700808153250637,300.0
1.14,1.25,14.700808153250637,425.0
2.4,0.0,17.3,1440.0
2.16,0.0,14.700808153250637,1080.0
2.0,1.0,15.3,1080.0
0.84,1.0,14.700808153250637,397.0
7.0,4.55,27.35,1083.0
1.15,1.0,14.700808153250637,360.0
0.8,0.0,14.700808153250637,414.0
2.2,2.45,14.75,840.0
6.17,5.06,30.36,1623.0
1.1,0.0,14.700808153250637,859.0
2.34,5.95,20.25,1020.0000000000001
2.2,2.45,14.75,898.0
6.7,4.26,25.56,780.0
8.3,2.7,32.0,2007.0000000000002
2.65,2.96,17.76,1081.0
0.58,1.06,14.700808153250637,190.0
1.2,0.0,14.700808153250637,983.0000000000001
2.56,2.06,14.700808153250637,459.00000000000006
1.6,0.0,14.700808153250637,753.0
18.65,10.56,63.36,1733.0
2.74,3.2,16.0,817.0
2.38,2.0,14.700808153250637,737.0
0.0,11.71,70.27,13.0
1.56,0.0,14.700808153250637,587.0
1.7,2.7,14.700808153250637,702.0
0.4,0.0,14.700808153250637,276.0
0.47,0.0,14.700808153250637,480.00000000000006
2.45,3.2,16.0,840.0
1.08,1.0,14.700808153250637,275.0
1.93,2.26,14.700808153250637,780.0
0.85,1.26,14.700808153250637,240.00000000000003
1.5,0.0,14.700808153250637,715.0
2.6,0.0,14.700808153250637,1057.0
0.95,1.0,14.700808153250637,360.0
1.26,0.0,14.700808153250637,420.0
0.9,0.0,14.700808153250637,360.0
17.76,11.71,70.27,3342.0
2.03,1.0,14.700808153250637,307.0
2.23,2.76,16.56,1080.0
1.3,1.65,14.700808153250637,420.0
1.0,1.1,14.700808153250637,380.0
2.2,0.0,14.700808153250637,1260.0
2.7,5.0,21.8,1436.0
2.1,0.0,14.700808153250637,900.0
4.2,4.0,23.3,1377.0
3.7,3.15,18.95,1080.0
1.3,1.0,14.700808153250637,360.0
1.03,2.86,17.16,1326.0
1.0,1.1,14.700808153250637,424.0
1.3,1.5,14.700808153250637,728.0
0.89,0.0,14.700808153250637,236.00000000000003
0.66,1.46,14.700808153250637,480.00000000000006
1.16,1.25,14.700808153250637,360.0
1.33,0.0,14.700808153250637,449.0
0.58,1.16,14.700808153250637,145.0
1.6,1.2,14.700808153250637,720.0
2.46,1.0,14.8,861.0
0.3,0.95,14.700808153250637,60.00000000000001
1.93,2.26,14.700808153250637,720.0
7.74,0.0,24.3,893.0
1.2,1.65,14.700808153250637,516.0
1.33,1.5,14.700808153250637,900.0
0.6,1.0,14.700808153250637,221.0
2.11,0.0,14.700808153250637,433.0
4.2,0.0,17.8,1205.0
0.7,0.0,14.700808153250637,540.0
3.1,0.0,15.8,1206.0
1.19,0.0,14.700808153250637,240.00000000000003
2.23,2.16,14.700808153250637,511.00000000000006
0.9,1.0,14.700808153250637,437.0
1.2,1.55,14.700808153250637,433.0
1.0,3.3,16.6,1162.0
0.8,0.75,14.700808153250637,300.0
2.3,0.0,14.700808153250637,562.0
0.3,0.0,14.700808153250637,360.0
1.2,0.0,14.700808153250637,890.0
4.65,0.0,18.8,1260.0
5.9,3.85,23.15,722.0
2.02,0.0,14.700808153250637,780.0
7.79,5.26,31.56,1320.0
0.8,0.0,14.700808153250637,300.0
4.0,0.0,18.8,1380.0
0.78,0.0,14.700808153250637,240.00000000000003
1.15,0.0,14.700808153250637,480.00000000000006
3.61,3.95,19.75,900.0
1.67,0.0,14.700808153250637,420.0
0.44,1.06,14.700808153250637,143.0
1.3,0.0,14.700808153250637,487.00000000000006
1.73,1.76,14.700808153250637,413.0
2.3,0.0,14.8,1260.0
4.43,3.16,18.96,898.0
3.08,2.0,16.3,979.0000000000001
8.69,3.44,38.0,1484.0
2.39,1.8,15.1,900.0
0.85,0.0,14.700808153250637,840.0
1.06,2.26,14.700808153250637,960.0000000000001
5.06,0.0,21.8,1356.0
0.0,3.0,14.700808153250637,0.0
1.63,0.0,14.700808153250637,694.0
1.1,1.25,14.700808153250637,229.00000000000003
8.33,0.0,35.84,1740.0
1.8,2.15,14.700808153250637,821.0
3.1,0.0,17.8,1320.0
2.0,3.54,15.34,733.0
13.79,0.0,56.06,4140.0
1.7,4.0,14.700808153250637,483.00000000000006
8.18,6.0,33.3,1466.0
0.51,0.0,14.700808153250637,267.0
2.3,2.65,15.95,1056.0
1.8,1.75,14.700808153250637,420.0
5.6,4.85,29.15,1840.0000000000002
4.2,0.0,17.8,1254.0
0.8,1.26,14.700808153250637,265.0
1.42,0.0,14.700808153250637,393.0
4.8,4.65,27.95,1800.0
3.32,2.76,16.56,843.0
2.78,0.0,14.700808153250637,531.0
1.1,0.0,14.700808153250637,473.00000000000006
0.6,0.0,14.700808153250637,196.0
0.73,1.26,14.700808153250637,300.0
3.0,0.0,14.700808153250637,780.0
3.34,4.37,26.21,1274.0
9.8,7.05,42.39,1476.0
0.88,0.0,14.700808153250637,600.0
4.65,0.0,20.8,1510.0
3.7,0.0,16.8,1148.0
2.8,3.05,18.35,1134.0
1.13,1.56,14.700808153250637,454.0
1.11,1.66,14.700808153250637,480.00000000000006
0.67,1.0,14.700808153250637,319.0
4.1,3.0,30.3,2640.0
3.7,3.25,19.55,1147.0
1.6,1.0,14.700808153250637,540.0
0.62,1.16,14.700808153250637,300.0
10.1,0.0,34.8,2148.0
0.5,1.15,14.700808153250637,300.0
1.92,1.0,14.700808153250637,489.00000000000006
5.2,0.0,18.3,900.0
3.6,5.0,27.3,2083.0
1.0,1.0,14.700808153250637,623.0
1.08,0.0,14.700808153250637,420.0
4.81,4.36,26.16,1645.0
16.97,11.71,70.27,1800.0
0.79,0.0,14.700808153250637,346.0
1.67,2.46,14.76,989.0000000000001
1.8,0.0,14.700808153250637,581.0
2.8,3.0,17.8,1147.0
1.36,1.47,14.700808153250637,85800.0
1.14,0.0,14.700808153250637,548.0
2.85,5.58,27.88,2160.0
1.2,2.9,14.700808153250637,731.0
0.7,0.0,14.700808153250637,670.0
1.87,2.94,14.700808153250637,540.0
1.26,1.76,14.700808153250637,540.0
0.6,1.2,14.700808153250637,300.0
1.5,1.0,14.700808153250637,551.0
1.0,0.0,14.700808153250637,360.0
1.4,1.75,14.700808153250637,600.0
0.6,0.0,14.700808153250637,313.0
