passenger_count,trip_distance,PULocationID,DOLocationID,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,VendorID_2,RatecodeID_2,RatecodeID_3,RatecodeID_4,RatecodeID_5,RatecodeID_99,store_and_fwd_flag_Y,payment_type_2,payment_type_3,payment_type_4,minutes
1,1.63,861,661,9.5,0.5,0.5,2.16,0.0,0.3,12.96,1,0,0,0,0,0,0,0,0,0,12.0
1,2.3,861,427,12.5,0.5,0.5,2.75,0.0,0.3,16.55,0,0,0,0,0,0,0,0,0,0,16.3
6,0.63,33,91,4.5,0.5,0.5,1.16,0.0,0.3,6.96,1,0,0,0,0,0,0,0,0,0,4.000000000000001
6,3.22,623,38,11.5,1.0,0.5,3.32,0.0,0.3,16.62,1,0,0,0,0,0,0,0,0,0,10.0
2,1.09,81,141,6.5,0.0,0.5,1.0,0.0,0.3,8.3,1,0,0,0,0,0,0,0,0,0,6.833333333333333
1,1.1,249,123,5.5,0.5,0.5,1.35,0.0,0.3,8.15,0,0,0,0,0,0,0,0,0,0,5.4
5,2.85,576,802,12.5,0.0,0.5,1.0,0.0,0.3,14.3,1,0,0,0,0,0,0,0,0,0,16.000000000000004
2,0.83,739,557,6.0,0.0,0.5,0.7,0.0,0.3,7.5,1,0,0,0,0,0,0,0,0,0,6.0
1,0.5,861,761,4.5,0.5,0.5,2.0,0.0,0.3,7.8,0,0,0,0,0,0,0,0,0,0,4.000000000000001
1,1.71,436,369,10.5,0.0,0.5,2.26,0.0,0.3,13.56,1,0,0,0,0,0,0,0,0,0,14.333333333333334
1,1.08,649,440,6.0,1.0,0.5,1.17,0.0,0.3,8.97,1,0,0,0,0,0,0,0,0,0,6.0
1,0.95,555,858,8.5,1.0,0.5,2.0,0.0,0.3,12.3,1,0,0,0,0,0,0,0,0,0,11.7
1,1.71,392,176,6.5,0.5,0.5,1.0,0.0,0.3,8.8,1,0,0,0,0,0,0,0,0,0,5.0
1,0.67,785,802,4.5,0.0,0.5,1.06,0.0,0.3,6.36,1,0,0,0,0,0,0,0,0,0,4.15
2,1.1,227,568,6.0,0.5,0.5,1.45,0.0,0.3,8.75,0,0,0,0,0,0,0,0,0,0,5.4
1,1.4,277,462,6.5,0.0,0.5,1.45,0.0,0.3,8.75,0,0,0,0,0,0,0,0,0,0,6.716666666666667
1,0.55,890,759,4.0,0.0,0.5,1.2,0.0,0.3,6.0,1,0,0,0,0,0,0,0,0,0,3.0
1,1.39,259,356,8.0,0.0,0.5,2.2,0.0,0.3,11.0,1,0,0,0,0,0,0,0,0,0,8.666666666666666
1,0.5,785,369,4.5,0.0,0.5,1.05,0.0,0.3,6.35,0,0,0,0,0,0,0,0,0,0,4.333333333333333
1,1.57,749,699,12.5,0.0,0.5,2.66,0.0,0.3,15.96,1,0,0,0,0,0,0,0,0,0,18.566666666666666
2,1.03,583,612,5.0,0.5,0.5,1.26,0.0,0.3,7.56,1,0,0,0,0,0,0,0,0,0,2.4833333333333334
1,1.5,576,391,12.5,0.0,0.5,3.95,0.0,0.3,17.25,0,0,0,0,0,0,0,0,0,0,17.983333333333334
1,2.6,392,612,11.0,0.5,0.5,3.0,0.0,0.3,15.3,0,0,0,0,0,0,0,0,0,0,11.783333333333333
1,2.1,749,759,12.0,0.5,0.5,2.65,0.0,0.3,15.95,0,0,0,0,0,0,0,0,0,0,17.000000000000004
2,2.34,749,266,10.5,0.5,0.5,2.36,0.0,0.3,14.16,1,0,0,0,0,0,0,0,0,0,11.0
6,2.84,583,334,14.0,0.0,0.5,2.96,0.0,0.3,17.76,1,0,0,0,0,0,0,0,0,0,18.816666666666666
1,3.3,469,802,13.5,0.0,0.5,2.85,0.0,0.3,17.15,0,0,0,0,0,0,0,0,0,0,15.816666666666668
1,1.4,792,246,6.5,1.0,0.5,1.65,0.0,0.3,9.95,0,0,0,0,0,0,0,0,0,0,6.366666666666666
3,0.47,861,858,5.0,1.0,0.5,1.36,0.0,0.3,8.16,1,0,0,0,0,0,0,0,0,0,4.583333333333333
3,2.3,649,653,13.0,0.0,0.5,2.76,0.0,0.3,16.56,1,0,0,0,0,0,0,0,0,0,18.0
2,0.95,861,759,5.5,0.5,0.5,1.02,0.0,0.3,7.82,1,0,0,0,0,0,0,0,0,0,4.000000000000001
1,0.66,469,653,6.5,0.5,0.5,1.0,0.0,0.3,8.8,1,0,0,0,0,0,0,0,0,0,7.5
1,3.8,792,230,14.5,0.5,0.5,3.15,0.0,0.3,18.95,0,0,0,0,0,0,0,0,0,0,15.0
1,2.4,583,261,11.0,0.5,0.5,3.05,0.0,0.3,15.35,0,0,0,0,0,0,0,0,0,0,13.0
2,2.5,749,406,9.5,0.5,0.5,1.5,0.0,0.3,12.3,0,0,0,0,0,0,0,0,0,0,9.066666666666666
1,0.99,617,391,6.0,0.0,0.5,3.0,0.0,0.3,9.8,1,0,0,0,0,0,0,0,0,0,5.0
2,2.2,227,568,10.5,1.0,0.5,1.6,0.0,0.3,13.9,0,0,0,0,0,0,0,0,0,0,12.0
1,0.43,483,239,4.0,0.0,0.5,0.96,0.0,0.3,5.76,1,0,0,0,0,0,0,0,0,0,2.0000000000000004
1,0.8,191,440,6.0,1.0,0.5,2.3,0.0,0.3,10.1,0,0,0,0,0,0,0,0,0,0,5.0
1,1.35,423,391,6.0,1.0,0.5,1.0,0.0,0.3,8.8,1,0,0,0,0,0,0,0,0,0,5.616666666666666
1,2.1,62,612,8.5,0.5,0.5,1.25,0.0,0.3,11.05,0,0,0,0,0,0,0,0,0,0,7.800000000000001
1,0.78,861,557,13.0,1.0,0.5,2.96,0.0,0.3,17.76,1,0,0,0,0,0,0,0,0,0,21.1
5,0.74,890,356,4.5,0.5,0.5,1.16,0.0,0.3,6.96,1,0,0,0,0,0,0,0,0,0,3.0
4,0.99,739,472,7.0,0.5,0.5,1.0,0.0,0.3,9.3,1,0,0,0,0,0,0,0,0,0,7.783333333333334
6,2.21,792,193,10.5,0.0,0.5,1.7,0.0,0.3,13.0,1,0,0,0,0,0,0,0,0,0,12.25
3,1.9,325,406,12.5,0.0,0.5,2.0,0.0,0.3,15.3,0,0,0,0,0,0,0,0,0,0,17.1
1,1.32,741,472,7.0,0.0,0.5,1.1,0.0,0.3,8.9,1,0,0,0,0,0,0,0,0,0,6.783333333333333
1,1.4,145,406,7.5,0.5,0.5,1.75,0.0,0.3,10.55,0,0,0,0,0,0,0,0,0,0,7.916666666666668
1,1.5,749,299,8.5,0.0,0.5,1.0,0.0,0.3,10.3,1,0,0,0,0,0,0,0,0,0,11.0
1,1.36,383,759,10.5,0.0,0.5,2.26,0.0,0.3,13.56,1,0,0,0,0,0,0,0,0,0,15.0
1,1.52,576,557,11.5,0.0,0.5,2.46,0.0,0.3,14.76,1,0,0,0,0,0,0,0,0,0,17.000000000000004
1,1.1,792,521,7.5,0.0,0.5,1.65,0.0,0.3,9.95,0,0,0,0,0,0,0,0,0,0,8.3
1,1.29,611,472,6.0,0.5,0.5,1.46,0.0,0.3,8.76,1,0,0,0,0,0,0,0,0,0,4.8
1,1.0,576,299,7.0,0.0,0.5,1.55,0.0,0.3,9.35,0,0,0,0,0,0,0,0,0,0,8.000000000000002
1,1.3,890,612,9.0,0.0,0.5,1.95,0.0,0.3,11.75,0,0,0,0,0,0,0,0,0,0,11.166666666666666
2,1.1,297,761,7.0,1.0,0.5,2.0,0.0,0.3,10.8,0,0,0,0,0,0,0,0,0,0,8.000000000000002
1,1.24,741,427,6.5,0.5,0.5,1.56,0.0,0.3,9.36,1,0,0,0,0,0,0,0,0,0,7.0
1,1.7,303,230,9.5,0.5,0.5,1.0,0.0,0.3,11.8,1,0,0,0,0,0,0,0,0,0,12.0
1,1.36,555,239,8.0,0.0,0.5,1.76,0.0,0.3,10.56,1,0,0,0,0,0,0,0,0,0,10.0
1,1.25,649,759,8.0,1.0,0.5,1.96,0.0,0.3,11.76,1,0,0,0,0,0,0,0,0,0,10.116666666666667
1,1.42,861,246,10.5,0.0,0.5,2.82,0.0,0.3,14.12,1,0,0,0,0,0,0,0,0,0,14.583333333333334
1,2.3,227,440,10.0,1.0,0.5,2.3,0.0,0.3,14.1,0,0,0,0,0,0,0,0,0,0,9.666666666666666
1,1.15,792,246,7.0,0.0,0.5,1.56,0.0,0.3,9.36,1,0,0,0,0,0,0,0,0,0,8.000000000000002
1,1.46,890,472,10.5,1.0,0.5,3.69,0.0,0.3,15.99,1,0,0,0,0,0,0,0,0,0,15.083333333333334
1,1.74,259,176,7.0,1.0,0.5,1.76,0.0,0.3,10.56,1,0,0,0,0,0,0,0,0,0,4.883333333333334
