date_local,state_name,county_name,city_name,local_site_name,parameter_name,units_of_measure,aqi_log
2018-01-01,Arizona,Maricopa,Buckeye,BUCKEYE,Carbon monoxide,Parts per million,2.0794415416798357
2018-01-01,Ohio,Belmont,Shadyside,Shadyside,Carbon monoxide,Parts per million,1.791759469228055
2018-01-01,Wyoming,Teton,Not in a city,Yellowstone National Park - Old Faithful Snow Lodge,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Pennsylvania,Philadelphia,Philadelphia,North East Waste (NEW),Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Iowa,Polk,Des Moines,CARPENTER,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Hawaii,Honolulu,Not in a city,Kapolei,Carbon monoxide,Parts per million,2.70805020110221
2018-01-01,Hawaii,Honolulu,Not in a city,Kapolei,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Pennsylvania,Erie,Erie,,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Hawaii,Honolulu,Honolulu,Honolulu,Carbon monoxide,Parts per million,1.791759469228055
2018-01-01,Colorado,Larimer,Fort Collins,Fort Collins - CSU - S. Mason,Carbon monoxide,Parts per million,1.9459101490553132
2018-01-01,Minnesota,Dakota,Rosemount,Flint Hills Refinery 420,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Indiana,Marion,Indianapolis,Indpls.- Illinois St.,Carbon monoxide,Parts per million,2.1972245773362196
2018-01-01,Ohio,Hamilton,Cincinnati,Taft NCore,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Arizona,Maricopa,Mesa,MESA,Carbon monoxide,Parts per million,2.3978952727983707
2018-01-01,Missouri,Jackson,Kansas City,"Blue Ridge, I-70",Carbon monoxide,Parts per million,1.791759469228055
2018-01-01,Connecticut,Hartford,Hartford,Huntley Place-Hartford,Carbon monoxide,Parts per million,1.791759469228055
2018-01-01,California,San Bernardino,Ontario,Ontario Near Road (Etiwanda),Carbon monoxide,Parts per million,2.4849066497880004
2018-01-01,Nevada,Washoe,Reno,Reno3,Carbon monoxide,Parts per million,2.0794415416798357
2018-01-01,California,Sacramento,Arden-Arcade,Sacramento-Del Paso Manor,Carbon monoxide,Parts per million,2.833213344056216
2018-01-01,Arizona,Pima,Tucson,CHILDREN'S PARK NCore,Carbon monoxide,Parts per million,2.0794415416798357
2018-01-01,Virginia,Roanoke,Vinton,East Vinton Elementary School,Carbon monoxide,Parts per million,0.6931471805599453
2018-01-01,Iowa,Linn,Cedar Rapids,Public Health,Carbon monoxide,Parts per million,0.6931471805599453
2018-01-01,Ohio,Stark,Canton,Canton,Carbon monoxide,Parts per million,1.9459101490553132
2018-01-01,Rhode Island,Providence,Providence,Near Rd,Carbon monoxide,Parts per million,1.9459101490553132
2018-01-01,Texas,Harris,Houston,Houston North Loop,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Nevada,Clark,Las Vegas,Sunrise Acres,Carbon monoxide,Parts per million,3.7376696182833684
2018-01-01,California,Orange,La Habra,La Habra,Carbon monoxide,Parts per million,2.6390573296152584
2018-01-01,California,Alameda,Not in a city,Berkeley- Aquatic Park,Carbon monoxide,Parts per million,2.772588722239781
2018-01-01,Illinois,Cook,Northbrook,NORTHBROOK WATER PLANT,Carbon monoxide,Parts per million,1.9459101490553132
2018-01-01,Kansas,Wyandotte,Kansas City,JFK,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Maryland,Baltimore,Essex,Essex,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Minnesota,Hennepin,Minneapolis,Near Road I-35/I-94,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,New Jersey,Bergen,Fort Lee,Fort Lee Near Road,Carbon monoxide,Parts per million,1.791759469228055
2018-01-01,California,Los Angeles,Lancaster,Lancaster-Division Street,Carbon monoxide,Parts per million,2.0794415416798357
