date_local,state_name,county_name,city_name,local_site_name,parameter_name,units_of_measure,aqi_log
2018-01-01,California,Fresno,Fresno,Fresno - Garland,Carbon monoxide,Parts per million,2.772588722239781
2018-01-01,Minnesota,Anoka,Blaine,Anoka County Airport,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Massachusetts,Suffolk,Boston,VON HILLERN ST,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Maine,Cumberland,Portland,PDO - Portland Deering Oaks,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Idaho,Ada,Not in a city,Meridian - St. Luke's,Carbon monoxide,Parts per million,1.9459101490553132
2018-01-01,Florida,Orange,Winter Park,WINTER PARK,Carbon monoxide,Parts per million,2.1972245773362196
2018-01-01,California,San Mateo,Redwood City,Redwood City,Carbon monoxide,Parts per million,2.3978952727983707
2018-01-01,Colorado,La Plata,Not in a city,UTE 1,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,California,Los Angeles,Santa Clarita,Santa Clarita,Carbon monoxide,Parts per million,2.0794415416798357
2018-01-01,California,Contra Costa,Concord,Concord,Carbon monoxide,Parts per million,1.791759469228055
2018-01-01,Virginia,Arlington,Arlington,Aurora Hills Visitors Center,Carbon monoxide,Parts per million,1.791759469228055
2018-01-01,California,Butte,Chico,Chico-East Avenue,Carbon monoxide,Parts per million,2.302585092994046
2018-01-01,California,Riverside,Mira Loma,Mira Loma (Van Buren),Carbon monoxide,Parts per million,3.332204510175204
2018-01-01,Vermont,Chittenden,Underhill (Town of),PROCTOR MAPLE RESEARCH CTR,Carbon monoxide,Parts per million,0.6931471805599453
2018-01-01,Florida,Hillsborough,Tampa,Munro Street (Near-Road),Carbon monoxide,Parts per million,1.9459101490553132
2018-01-01,Tennessee,Shelby,Memphis,Memphis NCORE site,Carbon monoxide,Parts per million,0.6931471805599453
2018-01-01,Georgia,DeKalb,Not in a city,South DeKalb,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Ohio,Summit,Akron,NIHF STEM MS,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Massachusetts,Hampden,Springfield,LIBERTY ST PARKING LOT,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,South Dakota,Minnehaha,Sioux Falls,SD School for the Deaf,Carbon monoxide,Parts per million,1.791759469228055
2018-01-01,North Carolina,Mecklenburg,Charlotte,Remount,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,West Virginia,Kanawha,Charleston,,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Colorado,Denver,Denver,I-25,Carbon monoxide,Parts per million,2.0794415416798357
2018-01-01,New Jersey,Essex,Newark,Newark Firehouse,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,California,Kern,Arvin,Arvin-Di Giorgio,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Ohio,Cuyahoga,Cleveland,GT Craig NCore,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Iowa,Scott,Davenport,"DAVENPORT, JEFFERSON SCH.",Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,California,Los Angeles,Pasadena,Pasadena,Carbon monoxide,Parts per million,2.833213344056216
2018-01-01,California,Alameda,Oakland,Laney College,Carbon monoxide,Parts per million,2.302585092994046
2018-01-01,California,Sacramento,Not in a city,North Highlands-Blackfoot,Carbon monoxide,Parts per million,2.9444389791664403
2018-01-01,Pennsylvania,Allegheny,Pittsburgh,Flag Plaza,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Michigan,Wayne,Livonia,LIVONIA-NR,Carbon monoxide,Parts per million,1.791759469228055
2018-01-01,Nebraska,Douglas,Omaha,4102 Woolworth Ave. on Healthcenter Warehouse,Carbon monoxide,Parts per million,1.791759469228055
2018-01-01,Arizona,Maricopa,Chandler,WEST CHANDLER,Carbon monoxide,Parts per million,2.995732273553991
2018-01-01,Indiana,Marion,Indianapolis (Remainder),Indpls- Washington Park/  in parking lot next to police station,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Arizona,Maricopa,Phoenix,JLG SUPERSITE,Carbon monoxide,Parts per million,3.044522437723423
2018-01-01,Missouri,St. Louis City,St. Louis,Forest Park,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Alabama,Jefferson,Birmingham,Arkadelphia/Near Road,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Washington,King,Seattle,SEATTLE - BEACON HILL,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Minnesota,Dakota,Lakeville,Near Road I-35,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,North Carolina,Wake,Raleigh,Millbrook School,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,California,San Joaquin,Stockton,Stockton-Hazelton,Carbon monoxide,Parts per million,3.044522437723423
2018-01-01,California,Los Angeles,Los Angeles,LAX Hastings,Carbon monoxide,Parts per million,2.8903717578961645
2018-01-01,California,Riverside,Lake Elsinore,Lake Elsinore,Carbon monoxide,Parts per million,2.302585092994046
2018-01-01,Maryland,Garrett,Grantsville,Piney Run,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Pennsylvania,Philadelphia,Philadelphia,Car-Barn Montgomery I -76,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Nevada,Clark,Las Vegas,Rancho & Teddy,Carbon monoxide,Parts per million,2.772588722239781
2018-01-01,California,Santa Barbara,Vandenberg Air Force Base,VAFB South Base,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Wyoming,Laramie,Not in a city,Cheyenne NCore,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Texas,Jefferson,Nederland,Nederland 17th Street,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Kentucky,Edmonson,Not in a city,Mammoth Cave NP - Houchin Meadow,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Oklahoma,Tulsa,Tulsa,NORTH TULSA - FIRE STATION#24,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,California,Santa Clara,San Jose,San Jose - Jackson,Carbon monoxide,Parts per million,2.772588722239781
2018-01-01,California,Humboldt,Eureka,Jacobs,Carbon monoxide,Parts per million,1.791759469228055
2018-01-01,New Jersey,Union,Elizabeth,Elizabeth Lab,Carbon monoxide,Parts per million,1.9459101490553132
2018-01-01,Maryland,Howard,North Laurel,Howard County Near Road,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,New York,Erie,Cheektowaga,Buffalo Near-Road,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Texas,El Paso,El Paso,El Paso Chamizal,Carbon monoxide,Parts per million,1.791759469228055
2018-01-01,Pennsylvania,Philadelphia,Philadelphia,Torresdale Station,Carbon monoxide,Parts per million,1.791759469228055
2018-01-01,Oklahoma,Oklahoma,Oklahoma City,Near Road,Carbon monoxide,Parts per million,1.791759469228055
2018-01-01,Florida,Pinellas,Saint Petersburg,Sawgrass Lake Park (Near-Road),Carbon monoxide,Parts per million,2.302585092994046
2018-01-01,Colorado,Mesa,Grand Junction,GRAND JUNCTION - PITKIN,Carbon monoxide,Parts per million,1.9459101490553132
2018-01-01,Minnesota,Dakota,Inver Grove Heights (RR name Inver Grove),Flint Hills Refinery 423,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Colorado,El Paso,Colorado Springs,COLORADO SPRINGS - HIGHWAY 24,Carbon monoxide,Parts per million,1.791759469228055
2018-01-01,Vermont,Chittenden,Burlington,City of Burlington Parking Lot,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,California,Santa Barbara,Goleta,Goleta,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Nevada,Washoe,Sparks,Sparks,Carbon monoxide,Parts per million,2.4849066497880004
2018-01-01,Pennsylvania,Adams,Not in a city,NARSTO SITE ARENDTSVILLE,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Texas,Harris,Houston,Clinton,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Kentucky,Jefferson,Louisville,Durrett Lane (Near Road),Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Arizona,Pima,Tucson,22ND & ALVERNON,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Connecticut,New Haven,New Haven,Criscuolo Park-New Haven,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,California,Imperial,Calexico,Calexico-Ethel Street,Carbon monoxide,Parts per million,3.295836866004329
2018-01-01,Pennsylvania,Allegheny,Wilkinsburg,Parkway East Near-Road,Carbon monoxide,Parts per million,1.9459101490553132
2018-01-01,North Dakota,Burleigh,Bismarck,BISMARCK RESIDENTIAL,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,California,Los Angeles,Los Angeles,Los Angeles-North Main Street,Carbon monoxide,Parts per million,2.8903717578961645
2018-01-01,California,Los Angeles,Los Angeles,Los Angeles-North Main Street,Carbon monoxide,Parts per million,2.833213344056216
2018-01-01,Texas,El Paso,El Paso,Ojo De Agua,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Connecticut,Litchfield,Cornwall,Mohawk Mt-Cornwall,Carbon monoxide,Parts per million,0.6931471805599453
2018-01-01,New York,Bronx,New York,PFIZER LAB SITE,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Florida,Miami-Dade,Not in a city,KENDALL,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Montana,Lewis and Clark,Not in a city,NCORE - Sieben Flats,Carbon monoxide,Parts per million,0.6931471805599453
2018-01-01,Virginia,Richmond City,Richmond,Bryan Park,Carbon monoxide,Parts per million,2.0794415416798357
2018-01-01,California,San Diego,El Cajon,El Cajon - Lexington Elementary School,Carbon monoxide,Parts per million,2.4849066497880004
2018-01-01,Wyoming,Converse,Not in a city,Converse County Long-Term,Carbon monoxide,Parts per million,0.6931471805599453
2018-01-01,California,Los Angeles,Reseda,Reseda,Carbon monoxide,Parts per million,2.995732273553991
2018-01-01,Ohio,Cuyahoga,Cleveland,Galleria,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,North Carolina,Mecklenburg,Charlotte,Garinger High School,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Michigan,Wayne,Detroit,West corner,Carbon monoxide,Parts per million,2.1972245773362196
2018-01-01,Michigan,Wayne,Detroit,MARK TWAIN MIDDLE SCHOOL,Carbon monoxide,Parts per million,2.302585092994046
2018-01-01,New York,Monroe,Rochester,ROCHESTER 2,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Utah,Salt Lake,Salt Lake City,Hawthorne,Carbon monoxide,Parts per million,2.3978952727983707
2018-01-01,Florida,Broward,Fort Lauderdale,Near Road - Fort Lauderdale,Carbon monoxide,Parts per million,2.0794415416798357
2018-01-01,California,Marin,San Rafael,San Rafael,Carbon monoxide,Parts per million,2.0794415416798357
2018-01-01,Montana,Gallatin,Not in a city,West Yellowstone Park Ent #2,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Michigan,Wayne,Detroit,ELIZA-NR,Carbon monoxide,Parts per million,2.4849066497880004
2018-01-01,California,San Bernardino,Fontana,Fontana,Carbon monoxide,Parts per million,2.4849066497880004
2018-01-01,Arizona,Maricopa,Phoenix,CENTRAL PHOENIX,Carbon monoxide,Parts per million,3.332204510175204
2018-01-01,California,Los Angeles,Compton,Compton,Carbon monoxide,Parts per million,3.713572066704308
2018-01-01,Missouri,St. Louis City,St. Louis,Blair Street,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,California,Alameda,Oakland,Oakland,Carbon monoxide,Parts per million,2.3978952727983707
2018-01-01,Delaware,New Castle,Wilmington,MLK  CORNER OF MLK BLVD AND JUSTISON ST,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Pennsylvania,York,York,A421330008LAT/LON POINT AT CORNER OF TRAILER,Carbon monoxide,Parts per million,0.0
2018-01-01,Florida,Duval,Jacksonville,Pepsi Place,Carbon monoxide,Parts per million,1.791759469228055
2018-01-01,New Jersey,Union,Elizabeth,Elizabeth,Carbon monoxide,Parts per million,2.0794415416798357
2018-01-01,California,San Bernardino,Victorville,Victorville-Park Avenue,Carbon monoxide,Parts per million,2.6390573296152584
2018-01-01,Texas,Harris,Deer Park,Houston Deer Park #2,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,California,San Francisco,San Francisco,San Francisco,Carbon monoxide,Parts per million,2.1972245773362196
2018-01-01,Colorado,Denver,Denver,DENVER - CAMP,Carbon monoxide,Parts per million,1.791759469228055
2018-01-01,Massachusetts,Worcester,Worcester,WORCESTER SUMMER STREET,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Rhode Island,Providence,East Providence, FRANCIS SCHOOL East Providence,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Massachusetts,Suffolk,Boston,DUDLEY SQUARE ROXBURY,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,New Hampshire,Hillsborough,Peterborough (Peterboro),MILLER STATE PARK,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,California,Santa Clara,San Jose,San Jose - Knox Avenue,Carbon monoxide,Parts per million,2.9444389791664403
2018-01-01,California,Contra Costa,San Pablo,San Pablo,Carbon monoxide,Parts per million,2.0794415416798357
2018-01-01,Ohio,Franklin,Columbus,Morse Rd,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Arizona,Pima,Tucson,22ND & CRAYCROFT,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,California,Orange,Anaheim,Anaheim,Carbon monoxide,Parts per million,2.4849066497880004
2018-01-01,Louisiana,East Baton Rouge,Baton Rouge,Capitol,Carbon monoxide,Parts per million,0.0
2018-01-01,Texas,Bexar,San Antonio,San Antonio Interstate 35,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Idaho,Ada,Boise (corporate name Boise City),Boise - Eastman Garage,Carbon monoxide,Parts per million,2.70805020110221
2018-01-01,Arizona,Maricopa,Phoenix,SOUTH PHOENIX,Carbon monoxide,Parts per million,3.6109179126442243
2018-01-01,California,Fresno,Clovis,Clovis-Villa,Carbon monoxide,Parts per million,2.3978952727983707
2018-01-01,Vermont,Rutland,Rutland,State of Vermont District Court Parking Lot,Carbon monoxide,Parts per million,1.9459101490553132
2018-01-01,California,Stanislaus,Modesto,Modesto-14th Street,Carbon monoxide,Parts per million,2.302585092994046
2018-01-01,New Jersey,Camden,Camden,Camden Spruce Street,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Mississippi,Hinds,Jackson,Jackson NCORE,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,California,Kern,Bakersfield,Bakersfield-Muni,Carbon monoxide,Parts per million,2.6390573296152584
2018-01-01,New Mexico,Bernalillo,Albuquerque,DEL NORTE HIGH SCHOOL,Carbon monoxide,Parts per million,2.0794415416798357
2018-01-01,California,Los Angeles,Azusa,Azusa,Carbon monoxide,Parts per million,2.3978952727983707
2018-01-01,Indiana,Lake,East Chicago,East Chicago- Post Office,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Utah,Weber,Ogden,Ogden,Carbon monoxide,Parts per million,2.0794415416798357
2018-01-01,New Jersey,Hudson,Jersey City,Jersey City,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,New York,New York,New York,CCNY,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Illinois,Saint Clair,East Saint Louis,IEPA-RAPS TRAILER,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Florida,Wakulla,Saint Marks,St. Marks Wildlife Refuge,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,California,San Diego,San Diego,San Diego -Rancho Carmel Drive,Carbon monoxide,Parts per million,2.4849066497880004
2018-01-01,California,Inyo,Not in a city,White Mountain Research Center - Owens Valley Lab,Carbon monoxide,Parts per million,0.6931471805599453
2018-01-01,California,Los Angeles,Pico Rivera,Pico Rivera #2,Carbon monoxide,Parts per million,2.9444389791664403
2018-01-01,New York,Queens,New York,Queens College Near Road,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Oklahoma,Adair,Cherry Tree,STILWELL,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Oklahoma,Oklahoma,Oklahoma City,OKC NORTH,Carbon monoxide,Parts per million,0.6931471805599453
2018-01-01,California,Contra Costa,Bethel Island,Bethel Island,Carbon monoxide,Parts per million,2.0794415416798357
2018-01-01,California,Los Angeles,Long Beach,Long Beach (Hudson),Carbon monoxide,Parts per million,3.2188758248682006
2018-01-01,Oregon,Multnomah,Portland,Portland - SE Lafayette,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Colorado,Adams,Welby,Welby,Carbon monoxide,Parts per million,1.791759469228055
2018-01-01,Maine,Hancock,Not in a city,MCFARLAND HILL Air Pollutant Research Site,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,New Hampshire,Rockingham,Londonderry,MOOSEHILL SCHOOL,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,New York,Queens,New York,QUEENS COLLEGE 2,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,District Of Columbia,District of Columbia,Washington,MCMILLAN  NCore-PAMS,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,New York,Steuben,Not in a city,PINNACLE STATE PARK,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Illinois,Champaign,Bondville,ISWS CLIMATE STATION,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Arkansas,Pulaski,North Little Rock,PARR,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Puerto Rico,Ponce,Ponce,RESIDENTIAL AREA,Carbon monoxide,Parts per million,1.791759469228055
2018-01-01,Arizona,Maricopa,Tempe,Diablo,Carbon monoxide,Parts per million,2.3978952727983707
2018-01-01,California,Los Angeles,Pomona,Pomona,Carbon monoxide,Parts per million,3.044522437723423
2018-01-01,California,Madera,Madera,Madera-Pump Yard,Carbon monoxide,Parts per million,1.791759469228055
2018-01-01,Ohio,Franklin,Columbus,Smoky Row Near Road,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Michigan,Wayne,Allen Park,Allen Park,Carbon monoxide,Parts per million,2.6390573296152584
2018-01-01,Virginia,Hampton City,Hampton,NASA Langley Research Center,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,California,San Bernardino,Upland,Upland,Carbon monoxide,Parts per million,2.6390573296152584
2018-01-01,New York,Erie,Buffalo,BUFFALO,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,New York,Monroe,Rochester,Rochester Near-Road,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Florida,Duval,Jacksonville,Southside Playground,Carbon monoxide,Parts per million,2.0794415416798357
2018-01-01,California,Riverside,Palm Springs,Palm Springs,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,California,Riverside,Rubidoux,Rubidoux,Carbon monoxide,Parts per million,3.1780538303479458
2018-01-01,California,Riverside,Rubidoux,Rubidoux,Carbon monoxide,Parts per million,3.1354942159291497
2018-01-01,Florida,Miami-Dade,Miami,Lab Annex,Carbon monoxide,Parts per million,2.0794415416798357
2018-01-01,Minnesota,Ramsey,St. Paul,Lexington Avenue,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,California,Santa Barbara,Santa Maria,Santa Maria,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Colorado,Weld,Greeley,Greeley - Weld County Tower,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Tennessee,Shelby,Memphis,Near Road Site at Southwest Tennessee Community College,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,California,San Bernardino,San Bernardino,San Bernardino,Carbon monoxide,Parts per million,3.367295829986474
2018-01-01,Michigan,Wayne,Not in a city,Eliza Downwind,Carbon monoxide,Parts per million,2.3978952727983707
2018-01-01,Pennsylvania,Allegheny,Pittsburgh,Lawrenceville,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Texas,Tarrant,Fort Worth,Fort Worth California Parkway North,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Arizona,Pima,Tucson,GOLF LINKS,Carbon monoxide,Parts per million,1.791759469228055
2018-01-01,California,Fresno,Not in a city,Tranquillity,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Minnesota,Hennepin,Minneapolis,Hennepin Center for the Arts,Carbon monoxide,Parts per million,0.6931471805599453
2018-01-01,California,Santa Barbara,Capitan,Los Flores Canyon #1,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Florida,Broward,Davie,Daniela Banu NCORE,Carbon monoxide,Parts per million,1.791759469228055
2018-01-01,Ohio,Cuyahoga,Warrensville Heights,Cleveland Near Road,Carbon monoxide,Parts per million,1.791759469228055
2018-01-01,Indiana,Vanderburgh,Evansville,Evansville- Lloyd,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Florida,Duval,Jacksonville,Rosselle,Carbon monoxide,Parts per million,0.6931471805599453
2018-01-01,California,Sonoma,Sebastopol,Sebastopol,Carbon monoxide,Parts per million,2.1972245773362196
2018-01-01,Indiana,Marion,Indianapolis (Remainder),Indpls.- I 70,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,California,Napa,Napa,Napa,Carbon monoxide,Parts per million,2.3978952727983707
2018-01-01,South Carolina,Richland,Dentsville (Dents),PARKLANE,Carbon monoxide,Parts per million,0.6931471805599453
2018-01-01,California,San Bernardino,Barstow,Barstow,Carbon monoxide,Parts per million,1.791759469228055
2018-01-01,Maryland,Prince George's,Beltsville,HU-Beltsville,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,California,Sacramento,Sacramento,Sacramento-Bercut Drive,Carbon monoxide,Parts per million,2.6390573296152584
2018-01-01,Utah,Salt Lake,Salt Lake City,ROSE PARK,Carbon monoxide,Parts per million,2.3978952727983707
2018-01-01,Michigan,Kent,Grand Rapids,GR-MONROE,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,California,Santa Barbara,Lompoc,Lompoc H Street,Carbon monoxide,Parts per million,1.9459101490553132
2018-01-01,Georgia,Fulton,Atlanta,NR-GA Tech,Carbon monoxide,Parts per million,1.9459101490553132
2018-01-01,Texas,Travis,Austin,Austin North Interstate 35,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,California,Monterey,Salinas,Salinas 3,Carbon monoxide,Parts per million,2.3978952727983707
2018-01-01,Ohio,Montgomery,Dayton,Reibold,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Florida,Hillsborough,Valrico,SYDNEY,Carbon monoxide,Parts per million,1.9459101490553132
2018-01-01,California,Los Angeles,Glendora,Glendora,Carbon monoxide,Parts per million,1.9459101490553132
2018-01-01,New York,Albany,Albany,LOUDONVILLE,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,Pennsylvania,Lackawanna,Scranton,A420692006LAT/LON POINT IS AT CORNER OF TRAILER,Carbon monoxide,Parts per million,1.3862943611198906
2018-01-01,California,Solano,Vallejo,Vallejo,Carbon monoxide,Parts per million,2.302585092994046
2018-01-01,New Mexico,Bernalillo,South Valley,SOUTH VALLEY,Carbon monoxide,Parts per million,1.791759469228055
2018-01-01,Alaska,Anchorage ,Anchorage,GARDEN/TRINITY CHRISTIAN CHURCH,Carbon monoxide,Parts per million,2.302585092994046
2018-01-01,California,Alameda,Oakland,Oakland West,Carbon monoxide,Parts per million,2.772588722239781
2018-01-01,Arizona,La Paz,Wenden,ALAMO LAKE,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Ohio,Preble,New Paris,Preble NCore,Carbon monoxide,Parts per million,1.0986122886681098
2018-01-01,Michigan,Wayne,Detroit,(Northeast corner),Carbon monoxide,Parts per million,2.0794415416798357
2018-01-01,Alaska,Fairbanks North Star ,Fairbanks,NCORE,Carbon monoxide,Parts per million,2.1972245773362196
