DISTNAME,STATNAME,BLOCKS,VILLAGES,CLUSTERS,TOTPOPULAT,OVERALL_LI
DISTRICT32,STATE1,13,391,104,875564.0,66.92
DISTRICT649,STATE1,18,678,144,1015503.0,66.93
DISTRICT229,STATE1,8,94,65,1269751.0,71.21
DISTRICT259,STATE1,13,523,104,735753.0,57.98
DISTRICT486,STATE1,8,359,64,570060.0,65.0
DISTRICT323,STATE1,12,523,96,1070144.0,64.32
DISTRICT114,STATE1,6,110,49,147104.0,80.48
DISTRICT438,STATE1,7,134,54,143388.0,74.49
DISTRICT610,STATE1,10,388,80,409576.0,65.97
DISTRICT476,STATE1,11,361,86,555357.0,69.9
DISTRICT412,STATE1,11,187,95,476820.0,68.69
DISTRICT81,STATE1,15,390,120,619266.0,68.54
DISTRICT293,STATE1,14,861,124,1526406.0,83.98
DISTRICT563,STATE1,12,495,98,615711.0,73.5
DISTRICT312,STATE1,4,253,32,265960.0,62.49
DISTRICT365,STATE1,5,205,40,385099.0,57.82
DISTRICT566,STATE1,7,163,57,231037.0,58.54
DISTRICT260,STATE1,6,139,48,283313.0,56.9
DISTRICT332,STATE1,4,148,32,297003.0,59.99
DISTRICT243,STATE1,6,282,48,422786.0,60.35
DISTRICT507,STATE1,6,261,53,314714.0,59.42
DISTRICT267,STATE1,5,318,35,318611.0,82.48
DISTRICT288,STATE16,15,1150,266,518844.0,73.19
DISTRICT249,STATE16,19,1785,358,1507223.0,86.49
DISTRICT576,STATE16,4,168,53,31528.0,77.24
DISTRICT446,STATE16,6,193,131,437474.0,80.14
DISTRICT184,STATE16,20,1804,380,999518.0,82.81
DISTRICT453,STATE16,6,551,105,454293.0,89.01
DISTRICT675,STATE16,6,394,102,521057.0,87.23
DISTRICT294,STATE16,5,519,118,382056.0,85.67
DISTRICT279,STATE16,7,983,149,576670.0,85.02
DISTRICT525,STATE16,13,718,205,530164.0,79.98
DISTRICT261,STATE16,20,1639,321,813384.0,84.55
DISTRICT621,STATE16,3,216,55,84298.0,80.77
DISTRICT613,STATE26,11,1107,166,2299026.0,81.06
DISTRICT564,STATE26,9,816,125,2490891.0,77.2
DISTRICT389,STATE26,5,539,68,817668.0,80.18
DISTRICT21,STATE26,11,982,156,2181753.0,82.4
DISTRICT475,STATE26,10,1266,175,1582793.0,85.43
DISTRICT124,STATE26,5,448,64,614362.0,80.33
DISTRICT198,STATE26,5,529,60,683349.0,83.28
DISTRICT377,STATE26,5,459,54,599814.0,80.33
DISTRICT125,STATE26,12,1044,143,3487882.0,82.54
DISTRICT286,STATE26,5,332,46,992289.0,71.59
DISTRICT253,STATE26,6,666,79,2026831.0,69.85
DISTRICT11,STATE26,4,300,38,902702.0,66.79
DISTRICT262,STATE26,2,234,30,618008.0,70.65
DISTRICT226,STATE26,8,394,45,1388859.0,69.57
DISTRICT518,STATE26,5,288,46,768808.0,62.78
DISTRICT182,STATE26,10,707,97,1654408.0,68.88
DISTRICT436,STATE26,8,995,124,1892282.0,76.26
DISTRICT485,STATE26,3,479,63,986147.0,84.87
DISTRICT452,STATE26,8,512,60,1120070.0,69.43
DISTRICT126,STATE26,3,197,21,596294.0,68.9
DISTRICT302,STATE26,5,510,61,,
DISTRICT276,STATE26,6,393,59,,
DISTRICT627,STATE36,20,84,20,1054686.0,86.43
DISTRICT53,STATE15,6,662,61,329686.0,75.98
DISTRICT209,STATE15,9,809,78,391114.0,83.48
DISTRICT450,STATE15,3,537,46,236857.0,82.09
DISTRICT637,STATE15,9,1468,115,616409.0,75.1
DISTRICT533,STATE15,6,953,82,1698560.0,85.24
DISTRICT344,STATE15,15,1735,130,686527.0,82.59
DISTRICT390,STATE15,8,948,92,485993.0,82.93
DISTRICT650,STATE15,3,584,46,259840.0,80.69
DISTRICT360,STATE15,11,1401,107,621927.0,81.06
DISTRICT509,STATE15,4,498,40,259315.0,80.73
DISTRICT12,STATE15,8,1040,78,955128.0,84.85
DISTRICT307,STATE15,7,683,66,1648367.0,74.44
DISTRICT132,STATE15,6,671,54,1927029.0,74.62
DISTRICT99,STATE25,4,279,43,558890.0,83.44
DISTRICT287,STATE25,6,431,75,1136784.0,82.89
DISTRICT356,STATE25,6,591,80,1214162.0,78.93
DISTRICT337,STATE25,6,439,80,964231.0,76.7
DISTRICT648,STATE25,6,297,56,1072861.0,70.56
DISTRICT510,STATE25,6,468,110,1506323.0,76.44
DISTRICT282,STATE25,6,201,43,1202811.0,77.46
DISTRICT628,STATE25,8,350,84,1480080.0,80.83
DISTRICT247,STATE25,7,314,60,1332042.0,72.73
DISTRICT447,STATE25,6,284,60,941522.0,69.13
DISTRICT178,STATE25,7,422,99,1295114.0,70.35
DISTRICT45,STATE25,9,351,130,1742815.0,73.24
DISTRICT362,STATE25,10,531,116,1629109.0,76.74
DISTRICT265,STATE25,5,152,43,1058683.0,80.37
DISTRICT326,STATE25,5,256,45,956907.0,80.83
DISTRICT479,STATE25,8,384,99,921680.0,78.87
DISTRICT667,STATE25,5,396,75,896129.0,82.23
DISTRICT662,STATE25,4,325,81,1514085.0,84.44
DISTRICT604,STATE25,2,211,33,1798954.0,83.04
DISTRICT280,STATE25,5,450,60,1089406.0,56.14
DISTRICT150,STATE25,5,306,51,1040493.0,70.32
DISTRICT301,STATE2,9,224,9,3651261.0,84.66
DISTRICT519,STATE2,6,80,6,883418.0,86.81
DISTRICT491,STATE2,6,133,6,2240749.0,82.8
DISTRICT657,STATE2,8,133,8,1707725.0,88.75
DISTRICT90,STATE2,7,29,7,133713.0,89.38
DISTRICT203,STATE2,8,68,8,578671.0,85.25
DISTRICT22,STATE2,7,182,7,2531583.0,87.12
DISTRICT140,STATE2,9,153,9,2292363.0,88.81
DISTRICT358,STATE2,9,199,9,2733752.0,87.03
DISTRICT180,STATE13,9,1937,378,1969520.0,70.25
DISTRICT215,STATE13,7,994,284,1779650.0,68.37
DISTRICT678,STATE13,7,866,293,2367745.0,65.92
DISTRICT186,STATE13,7,1053,289,2041172.0,67.46
DISTRICT579,STATE13,8,1061,340,2139658.0,74.72
DISTRICT157,STATE13,14,1994,508,3671999.0,71.68
DISTRICT121,STATE13,10,1466,369,2549121.0,71.16
DISTRICT630,STATE13,5,825,222,1207293.0,70.14
DISTRICT7,STATE13,6,776,239,1458459.0,67.34
DISTRICT158,STATE13,6,769,211,1338114.0,66.19
DISTRICT256,STATE13,6,1003,232,1637226.0,69.17
DISTRICT207,STATE13,19,2269,592,6663971.0,76.44
DISTRICT544,STATE13,9,1147,354,2677737.0,72.98
DISTRICT612,STATE13,14,1658,486,3309234.0,64.08
DISTRICT526,STATE13,17,1739,520,3685681.0,67.09
DISTRICT31,STATE13,3,569,152,672008.0,58.04
DISTRICT315,STATE13,17,2317,504,2604453.0,57.49
DISTRICT264,STATE13,8,783,287,1830151.0,55.58
DISTRICT470,STATE13,5,503,174,1037185.0,56.02
DISTRICT85,STATE13,10,1118,330,2038533.0,63.23
DISTRICT174,STATE13,10,1243,351,2584913.0,70.46
DISTRICT49,STATE13,6,1155,240,1421711.0,62.46
DISTRICT391,STATE13,5,946,200,1113725.0,62.31
DISTRICT672,STATE13,12,1852,410,2410459.0,62.71
DISTRICT568,STATE13,7,1043,226,1158283.0,63.93
DISTRICT520,STATE13,17,2146,536,3067549.0,62.74
DISTRICT122,STATE13,10,976,266,1388906.0,60.78
DISTRICT653,STATE13,11,1484,373,1798194.0,57.2
DISTRICT345,STATE13,11,1482,315,1544392.0,62.51
DISTRICT327,STATE13,6,867,250,1950491.0,77.48
DISTRICT629,STATE13,7,1117,228,1223921.0,67.38
DISTRICT35,STATE13,8,1512,256,1411327.0,62.13
DISTRICT442,STATE13,5,771,179,868231.0,56.3
DISTRICT607,STATE21,14,1357,127,3464228.0,72.03
DISTRICT50,STATE21,12,594,86,4138605.0,70.11
DISTRICT61,STATE21,16,1919,159,3683896.0,70.43
DISTRICT191,STATE21,10,1141,69,4773138.0,58.67
DISTRICT328,STATE21,7,1116,85,2335398.0,55.08
DISTRICT594,STATE21,8,1027,93,1838771.0,65.7
DISTRICT238,STATE21,14,771,175,3447405.0,74.8
DISTRICT193,STATE21,7,312,57,1302156.0,73.54
DISTRICT380,STATE21,6,318,31,4661452.0,85.0
DISTRICT570,STATE21,4,399,37,1674714.0,82.2
DISTRICT534,STATE21,22,1394,188,3498507.0,70.23
DISTRICT133,STATE21,14,1672,136,3673849.0,69.61
DISTRICT244,STATE21,9,996,76,1565678.0,73.1
