DISTNAME,STATNAME,BLOCKS,VILLAGES,CLUSTERS,TOTPOPULAT,OVERALL_LI
DISTRICT368,STATE21,13,1199,123,2541894.0,72.65
DISTRICT335,STATE21,17,1945,138,4380793.0,69.44
DISTRICT542,STATE21,11,1339,140,2496761.0,74.6
DISTRICT456,STATE21,11,1134,74,1761152.0,73.27
DISTRICT400,STATE21,10,1397,90,1847194.0,78.26
DISTRICT162,STATE21,20,1619,143,3712738.0,52.91
DISTRICT346,STATE21,19,1966,154,4465344.0,60.52
DISTRICT185,STATE21,9,1205,97,2037225.0,63.58
DISTRICT28,STATE21,17,2185,161,3002376.0,61.61
DISTRICT271,STATE21,19,2117,169,4013634.0,62.71
DISTRICT129,STATE21,23,2603,238,4474446.0,63.38
DISTRICT647,STATE21,25,2161,208,4091380.0,68.89
DISTRICT364,STATE21,17,2107,202,3110595.0,68.29
DISTRICT616,STATE21,9,1166,146,4588455.0,79.33
DISTRICT679,STATE21,19,1989,162,3404004.0,69.04
DISTRICT270,STATE21,9,1174,94,1887577.0,70.57
DISTRICT340,STATE21,9,819,98,1658005.0,74.01
DISTRICT366,STATE21,9,1330,86,1579160.0,79.99
DISTRICT581,STATE21,8,1133,90,1372287.0,80.25
DISTRICT196,STATE21,10,1354,119,1795092.0,77.52
DISTRICT575,STATE21,20,1091,175,4572951.0,81.31
DISTRICT582,STATE21,13,1159,86,1670718.0,75.16
DISTRICT441,STATE21,10,945,71,2000755.0,76.37
DISTRICT373,STATE21,7,713,49,1218002.0,64.95
DISTRICT26,STATE21,10,680,66,1104021.0,70.16
DISTRICT298,STATE21,5,452,41,876055.0,66.94
DISTRICT553,STATE21,9,487,72,1799541.0,68.11
DISTRICT292,STATE21,6,345,49,990626.0,66.52
DISTRICT102,STATE21,15,1606,180,2632684.0,68.78
DISTRICT500,STATE21,18,1877,188,3173752.0,73.1
DISTRICT514,STATE21,8,876,117,1596909.0,63.69
DISTRICT503,STATE21,22,2311,295,5959798.0,74.41
DISTRICT595,STATE21,16,1992,157,3257983.0,63.76
DISTRICT574,STATE21,17,1218,143,2468371.0,70.63
DISTRICT19,STATE21,10,1374,113,2398709.0,74.37
DISTRICT240,STATE21,15,1341,117,3790922.0,71.14
DISTRICT670,STATE21,15,1594,142,3478257.0,51.1
DISTRICT585,STATE21,5,803,54,1114615.0,49.13
DISTRICT596,STATE21,11,1281,108,2149066.0,51.76
DISTRICT217,STATE21,19,1791,181,3431386.0,61.16
DISTRICT152,STATE21,14,1703,155,2553526.0,61.81
DISTRICT93,STATE21,15,1762,166,2461056.0,69.69
DISTRICT127,STATE21,9,1147,99,1714300.0,69.01
DISTRICT465,STATE21,17,1057,118,2665292.0,64.3
DISTRICT381,STATE21,20,2291,192,4436275.0,73.25
DISTRICT199,STATE21,15,1444,145,3560830.0,67.66
DISTRICT142,STATE21,18,1725,194,3098637.0,73.53
DISTRICT398,STATE21,23,2618,283,4616509.0,72.69
DISTRICT39,STATE21,10,751,124,2205170.0,75.16
DISTRICT593,STATE21,18,1651,178,3223642.0,73.82
DISTRICT505,STATE21,22,2355,260,4476072.0,73.66
DISTRICT432,STATE21,17,1675,204,3622727.0,74.27
DISTRICT601,STATE21,10,1189,128,1952713.0,73.86
DISTRICT587,STATE21,10,1331,119,3682194.0,77.05
DISTRICT588,STATE21,10,951,71,,
DISTRICT504,STATE21,13,1469,106,2494533.0,70.38
DISTRICT88,STATE21,8,1033,67,1862612.0,66.18
DISTRICT427,STATE21,7,805,80,1554203.0,71.1
DISTRICT658,STATE21,10,886,80,1438156.0,62.3
DISTRICT535,STATE21,13,1050,99,,
DISTRICT218,STATE21,8,341,47,,
DISTRICT258,STATE21,6,342,53,,
DISTRICT495,STATE28,18,1210,193,3922780.0,58.06
DISTRICT208,STATE28,27,1534,251,5082868.0,58.26
DISTRICT618,STATE28,5,183,34,656916.0,56.0
DISTRICT554,STATE28,17,852,169,3419622.0,53.53
DISTRICT642,STATE28,21,1102,241,4476044.0,60.9
DISTRICT347,STATE28,11,623,94,2228397.0,59.65
DISTRICT4,STATE28,9,990,140,2806200.0,55.1
DISTRICT52,STATE28,7,978,131,1690948.0,57.04
DISTRICT291,STATE28,14,1188,165,3273127.0,52.49
DISTRICT266,STATE28,16,1621,173,3068149.0,53.56
DISTRICT227,STATE28,13,404,126,1994618.0,53.78
DISTRICT459,STATE28,10,651,107,1897102.0,54.57
DISTRICT569,STATE28,19,1168,191,3921971.0,58.26
DISTRICT501,STATE28,16,1828,258,4778610.0,65.68
DISTRICT663,STATE28,14,1358,120,2558037.0,67.04
DISTRICT330,STATE28,19,1405,171,3318176.0,71.59
DISTRICT290,STATE28,20,1564,178,3943098.0,68.57
DISTRICT295,STATE28,16,1187,182,3495249.0,68.56
DISTRICT638,STATE28,20,1138,182,4254782.0,63.81
DISTRICT159,STATE28,18,870,134,2954367.0,66.23
DISTRICT251,STATE28,7,287,88,1657599.0,60.87
DISTRICT583,STATE28,17,1394,156,3032226.0,64.96
DISTRICT109,STATE28,11,1340,178,2029339.0,60.12
DISTRICT451,STATE28,9,535,78,1359054.0,73.3
DISTRICT216,STATE28,7,471,61,1000717.0,64.95
DISTRICT67,STATE28,6,355,43,634927.0,65.96
DISTRICT517,STATE28,20,1114,189,2872523.0,66.41
DISTRICT111,STATE28,24,1600,266,5772804.0,72.47
DISTRICT379,STATE28,14,1204,159,2720155.0,72.79
DISTRICT151,STATE28,11,767,101,1707643.0,71.77
DISTRICT64,STATE28,11,1101,73,1626900.0,71.01
DISTRICT374,STATE28,19,1907,200,2962593.0,75.59
DISTRICT463,STATE28,7,512,69,1124176.0,68.27
DISTRICT324,STATE28,11,1690,172,2511243.0,72.77
DISTRICT285,STATE28,24,2334,252,4379383.0,66.35
DISTRICT387,STATE28,14,953,132,2216653.0,61.63
DISTRICT47,STATE28,10,1054,143,1756078.0,62.16
DISTRICT418,STATE28,5,307,33,699563.0,69.54
DISTRICT202,STATE18,4,69,16,43354.0,77.39
DISTRICT602,STATE18,7,250,33,136299.0,78.69
DISTRICT63,STATE18,8,230,32,146742.0,82.06
DISTRICT661,STATE18,10,207,30,281293.0,84.67
DISTRICT339,STATE3,6,131,10,49950.0,60.61
DISTRICT197,STATE3,5,166,16,87013.0,69.4
DISTRICT194,STATE3,8,271,24,78413.0,62.48
DISTRICT168,STATE3,5,312,16,176385.0,82.14
DISTRICT458,STATE3,3,157,19,82839.0,76.33
DISTRICT221,STATE3,9,253,18,83205.0,63.96
DISTRICT448,STATE3,10,230,17,112272.0,67.62
DISTRICT490,STATE3,4,93,12,99019.0,73.54
DISTRICT156,STATE3,6,80,9,35289.0,59.94
DISTRICT319,STATE3,3,26,7,7948.0,64.8
DISTRICT305,STATE3,2,62,6,145538.0,69.88
DISTRICT560,STATE3,7,305,14,147951.0,61.9
DISTRICT552,STATE3,3,103,4,111997.0,52.23
DISTRICT523,STATE3,6,159,8,89717.0,50.67
DISTRICT404,STATE3,3,86,10,53986.0,70.38
DISTRICT68,STATE3,4,90,8,21089.0,59.4
DISTRICT303,STATE3,4,62,5,,
DISTRICT608,STATE3,3,160,13,,
DISTRICT62,STATE3,4,145,7,,
DISTRICT474,STATE3,4,91,11,,
DISTRICT532,STATE27,5,139,5,250671.0,56.6
DISTRICT680,STATE27,5,126,14,196801.0,73.7
DISTRICT9,STATE27,6,128,6,193171.0,92.68
DISTRICT555,STATE27,5,202,5,141014.0,86.26
DISTRICT487,STATE27,3,138,42,166239.0,87.6
DISTRICT272,STATE27,5,277,30,379769.0,85.44
DISTRICT57,STATE27,6,121,6,270063.0,85.58
DISTRICT355,STATE27,4,109,5,163294.0,79.13
DISTRICT632,STATE27,2,37,2,74033.0,71.1
DISTRICT138,STATE27,3,95,3,50593.0,73.1
DISTRICT120,STATE27,3,106,7,94954.0,79.0
DISTRICT385,STATE35,6,531,30,354972.0,75.0
DISTRICT669,STATE35,4,249,32,140143.0,70.4
DISTRICT541,STATE35,6,405,19,271274.0,84.29
DISTRICT322,STATE35,2,109,10,240363.0,76.35
DISTRICT539,STATE35,2,144,12,420517.0,76.66
DISTRICT636,STATE35,3,187,44,514683.0,86.7
DISTRICT51,STATE35,3,223,23,452661.0,82.81
DISTRICT134,STATE35,5,242,40,183115.0,81.87
DISTRICT478,STATE35,4,332,15,144028.0,70.85
DISTRICT578,STATE12,4,82,17,85757.0,85.96
DISTRICT361,STATE12,3,45,11,83054.0,94.54
DISTRICT289,STATE12,11,183,51,404054.0,98.5
DISTRICT187,STATE12,4,109,23,125370.0,93.51
DISTRICT562,STATE12,3,49,12,64875.0,98.76
DISTRICT245,STATE12,4,134,25,154094.0,89.4
DISTRICT100,STATE12,5,169,19,117444.0,66.41
DISTRICT677,STATE12,2,80,11,56366.0,88.41
DISTRICT313,STATE14,12,150,46,1724619.0,88.91
DISTRICT232,STATE14,9,174,51,875144.0,85.41
DISTRICT163,STATE14,9,176,56,377988.0,86.82
DISTRICT551,STATE14,9,103,63,693281.0,88.29
DISTRICT467,STATE14,9,159,40,,
DISTRICT449,STATE14,8,95,33,,
DISTRICT464,STATE14,9,162,46,,
DISTRICT38,STATE14,6,82,33,,
DISTRICT37,STATE4,7,1083,92,642923.0,68.38
DISTRICT8,STATE4,3,518,41,317618.0,75.51
DISTRICT167,STATE4,4,640,51,142574.0,72.39
DISTRICT430,STATE4,4,806,73,385601.0,79.3
DISTRICT549,STATE4,3,586,52,258380.0,77.22
DISTRICT401,STATE4,9,828,107,824059.0,84.7
DISTRICT424,STATE4,3,296,53,392852.0,63.26
DISTRICT192,STATE4,2,503,36,,
DISTRICT164,STATE4,2,179,29,,
DISTRICT112,STATE4,2,297,38,,
DISTRICT426,STATE4,2,430,37,,
DISTRICT36,STATE33,4,967,140,886999.0,66.63
DISTRICT584,STATE33,7,1042,200,1948632.0,59.36
DISTRICT149,STATE33,4,694,127,1008959.0,68.67
DISTRICT84,STATE33,4,501,67,732639.0,70.44
DISTRICT394,STATE33,7,831,161,1693190.0,65.03
DISTRICT480,STATE33,9,921,159,1517202.0,72.81
DISTRICT242,STATE33,4,447,98,769919.0,79.89
DISTRICT34,STATE33,3,547,95,908090.0,64.55
DISTRICT1,STATE33,4,534,98,957853.0,69.37
DISTRICT472,STATE33,11,1311,251,2826006.0,73.78
DISTRICT310,STATE33,7,1533,179,1925975.0,69.96
DISTRICT351,STATE33,6,993,165,1040644.0,78.39
DISTRICT547,STATE33,3,1089,101,688077.0,69.07
DISTRICT536,STATE33,5,817,99,1316948.0,70.92
DISTRICT177,STATE33,6,1069,107,1327748.0,76.22
DISTRICT146,STATE33,6,833,149,1150253.0,81.36
DISTRICT407,STATE33,6,789,136,1091295.0,83.42
DISTRICT416,STATE33,5,888,105,1058674.0,78.31
DISTRICT82,STATE33,11,668,190,965280.0,73.52
DISTRICT20,STATE33,5,706,79,213529.0,78.99
DISTRICT214,STATE33,8,1175,176,1736319.0,80.36
DISTRICT659,STATE33,6,995,112,1217002.0,79.72
DISTRICT645,STATE33,3,386,103,659260.0,75.26
DISTRICT210,STATE33,4,665,116,953773.0,70.53
DISTRICT250,STATE33,2,506,61,481818.0,64.71
DISTRICT225,STATE33,3,734,96,832769.0,66.6
DISTRICT354,STATE33,2,192,46,1260419.0,88.66
DISTRICT639,STATE34,12,876,28,1842034.0,79.92
DISTRICT395,STATE34,11,1107,139,3869675.0,73.79
DISTRICT190,STATE34,18,1634,148,2822780.0,75.49
DISTRICT76,STATE34,13,1131,115,3000849.0,60.13
DISTRICT255,STATE34,10,920,78,1670931.0,73.86
DISTRICT40,STATE34,17,1848,155,3997970.0,62.71
DISTRICT254,STATE34,33,3142,286,7102430.0,67.53
DISTRICT664,STATE34,25,1704,184,3502387.0,70.9
DISTRICT329,STATE34,42,3175,349,7723663.0,77.15
DISTRICT252,STATE34,27,2227,232,5168488.0,75.58
DISTRICT388,STATE34,50,3042,338,10082852.0,84.95
DISTRICT269,STATE34,31,2301,64,5520389.0,82.55
DISTRICT494,STATE34,25,2179,223,3596292.0,70.95
DISTRICT154,STATE34,23,1743,176,2927965.0,65.38
DISTRICT460,STATE34,17,1666,286,4841638.0,83.85
DISTRICT183,STATE34,1,141,94,4486679.0,87.14
DISTRICT13,STATE34,36,3803,349,8153176.0,78.57
DISTRICT561,STATE34,30,3963,61,5094238.0,87.66
DISTRICT230,STATE34,37,3430,324,5943300.0,79.04
DISTRICT18,STATE34,5,371,63,509709.0,85.46
DISTRICT165,STATE34,7,776,107,,
DISTRICT656,STATE23,19,794,78,1322387.0,62.18
DISTRICT405,STATE23,20,1634,144,1936319.0,65.5
DISTRICT66,STATE23,12,1169,116,1042304.0,62.14
DISTRICT531,STATE23,16,1063,114,1734005.0,70.48
DISTRICT512,STATE23,6,589,30,717169.0,68.35
DISTRICT223,STATE23,13,2573,146,2445203.0,65.12
DISTRICT668,STATE23,10,2085,105,1491879.0,66.34
DISTRICT342,STATE23,9,1381,120,1311382.0,57.68
DISTRICT559,STATE23,9,1282,74,1150038.0,53.73
DISTRICT590,STATE23,6,933,55,899200.0,50.17
DISTRICT410,STATE23,10,2143,128,1321096.0,62.54
DISTRICT349,STATE23,9,1155,107,2682662.0,75.71
DISTRICT540,STATE23,9,780,101,2061918.0,73.48
DISTRICT220,STATE23,18,1344,131,2912022.0,77.13
DISTRICT521,STATE23,7,352,46,461738.0,68.29
DISTRICT60,STATE23,12,1202,120,1025656.0,66.92
DISTRICT77,STATE23,18,1531,126,1501619.0,59.54
DISTRICT382,STATE23,11,1323,148,2291032.0,76.13
DISTRICT423,STATE23,6,1117,80,790207.0,63.73
DISTRICT455,STATE23,9,1217,55,1063458.0,68.85
DISTRICT598,STATE23,10,450,69,599813.0,67.59
DISTRICT352,STATE23,9,696,50,725673.0,61.23
DISTRICT231,STATE23,6,657,63,530299.0,64.51
DISTRICT281,STATE23,6,392,58,949159.0,73.92
DISTRICT378,STATE24,15,1187,157,,
DISTRICT591,STATE24,8,385,60,,
DISTRICT171,STATE24,14,996,149,,
DISTRICT421,STATE24,4,491,51,312164.0,73.07
DISTRICT46,STATE24,21,1594,222,2080664.0,74.13
DISTRICT640,STATE24,17,1857,191,1802777.0,69.0
DISTRICT406,STATE24,30,3238,384,2513895.0,63.98
DISTRICT94,STATE24,16,1830,207,2317419.0,80.66
DISTRICT334,STATE24,9,1094,124,439917.0,72.51
DISTRICT95,STATE24,11,1238,152,1439891.0,85.93
DISTRICT600,STATE24,11,1051,130,1136604.0,87.13
DISTRICT468,STATE24,19,1515,214,2618708.0,84.2
DISTRICT222,STATE24,12,1448,152,1826275.0,80.44
DISTRICT309,STATE24,12,913,140,1192948.0,79.41
DISTRICT529,STATE24,11,1220,134,1271703.0,78.96
DISTRICT550,STATE24,10,1024,103,962215.0,79.17
DISTRICT86,STATE24,15,1097,182,2246341.0,87.51
DISTRICT311,STATE24,15,1295,192,1697983.0,85.37
DISTRICT118,STATE24,40,2460,338,3520151.0,71.88
DISTRICT543,STATE24,9,1179,133,575880.0,54.29
DISTRICT414,STATE24,14,1584,167,731952.0,65.12
DISTRICT425,STATE24,4,762,61,1506522.0,83.25
DISTRICT623,STATE24,9,746,94,652107.0,74.42
DISTRICT304,STATE24,19,1774,209,1648574.0,65.5
DISTRICT488,STATE24,8,627,87,606490.0,58.2
DISTRICT422,STATE24,17,1641,210,1573054.0,60.22
DISTRICT614,STATE24,14,1843,182,961959.0,50.88
DISTRICT116,STATE24,12,870,166,1218762.0,48.2
DISTRICT56,STATE24,18,1585,179,1376934.0,49.87
DISTRICT471,STATE24,9,790,110,612727.0,49.49
DISTRICT325,STATE31,5,694,81,659039.0,71.41
DISTRICT643,STATE31,7,630,113,2361329.0,61.16
DISTRICT143,STATE31,8,813,135,852043.0,68.6
DISTRICT353,STATE31,9,1360,168,1493627.0,73.7
DISTRICT141,STATE31,5,797,118,1206563.0,73.22
DISTRICT16,STATE31,9,927,132,1620632.0,73.7
DISTRICT144,STATE31,7,1064,108,2662077.0,71.59
DISTRICT284,STATE31,4,932,90,822239.0,61.95
DISTRICT44,STATE31,9,1691,151,1537520.0,76.97
DISTRICT641,STATE31,3,567,61,3343079.0,79.69
DISTRICT651,STATE31,4,721,86,4062160.0,76.43
DISTRICT318,STATE31,5,1172,120,1032275.0,71.54
DISTRICT565,STATE31,4,696,81,799199.0,78.95
DISTRICT170,STATE31,7,1268,137,748593.0,70.97
DISTRICT103,STATE31,7,887,133,1411644.0,54.94
DISTRICT461,STATE31,4,360,53,532791.0,42.67
DISTRICT376,STATE31,5,632,103,,
DISTRICT212,STATE31,2,244,30,,
DISTRICT439,STATE31,3,628,56,,
DISTRICT419,STATE31,4,512,61,,
DISTRICT445,STATE31,3,524,56,,
DISTRICT166,STATE31,5,771,93,,
DISTRICT317,STATE31,4,719,70,,
DISTRICT14,STATE31,6,1051,118,,
DISTRICT331,STATE31,5,786,85,,
DISTRICT59,STATE31,6,700,114,,
DISTRICT548,STATE31,6,688,111,,
DISTRICT586,STATE22,3,598,29,687952.0,58.02
DISTRICT502,STATE22,7,839,64,1965137.0,72.07
DISTRICT257,STATE22,6,1128,70,1703562.0,76.59
DISTRICT483,STATE22,5,791,56,2030543.0,77.93
DISTRICT173,STATE22,3,686,34,786375.0,73.5
DISTRICT189,STATE22,8,1630,80,1725818.0,63.73
DISTRICT567,STATE22,5,1263,70,1240938.0,65.1
DISTRICT367,STATE22,6,843,66,1444920.0,62.57
DISTRICT428,STATE22,8,1824,74,1762857.0,64.9
DISTRICT375,STATE22,5,1145,63,1016028.0,66.08
DISTRICT338,STATE22,11,1896,90,2378295.0,77.52
DISTRICT466,STATE22,7,988,56,1263703.0,70.92
DISTRICT413,STATE22,8,1840,99,2228619.0,73.79
DISTRICT431,STATE22,9,1778,143,2363744.0,73.42
DISTRICT48,STATE22,3,591,33,643579.0,67.34
DISTRICT619,STATE22,5,859,57,1064989.0,68.36
DISTRICT572,STATE22,5,941,64,1126515.0,66.09
DISTRICT296,STATE22,3,763,35,825958.0,71.81
DISTRICT33,STATE22,5,904,51,1339832.0,72.75
DISTRICT644,STATE22,6,1224,68,1454483.0,68.03
DISTRICT433,STATE22,7,1195,60,1986597.0,73.55
DISTRICT403,STATE22,4,630,40,1512353.0,70.17
DISTRICT580,STATE22,6,1167,59,1563107.0,70.53
DISTRICT320,STATE22,6,819,65,1024091.0,44.45
DISTRICT5,STATE22,13,1626,114,2184672.0,60.57
DISTRICT205,STATE22,5,762,49,3272335.0,82.32
DISTRICT350,STATE22,9,1208,98,1872413.0,63.98
DISTRICT69,STATE22,7,708,78,1385659.0,50.23
DISTRICT195,STATE22,7,756,47,1309443.0,67.53
DISTRICT65,STATE22,6,1626,77,1546541.0,62.68
DISTRICT652,STATE22,7,1430,73,1458212.0,72.08
DISTRICT624,STATE22,4,548,32,2368145.0,82.26
DISTRICT155,STATE22,5,1116,58,1311008.0,71.11
DISTRICT42,STATE22,7,1404,74,1331699.0,74.26
DISTRICT386,STATE22,10,1525,79,1575247.0,70.14
DISTRICT107,STATE22,3,522,24,570302.0,74.04
DISTRICT119,STATE22,7,1014,54,1240975.0,76.52
DISTRICT673,STATE22,6,947,54,1291684.0,73.62
DISTRICT237,STATE22,8,1372,63,2460714.0,82.47
DISTRICT248,STATE22,6,1030,52,1092141.0,76.79
DISTRICT363,STATE22,7,851,51,704218.0,65.47
