,date_local,state_name,county_name,city_name,local_site_name,parameter_name,units_of_measure,arithmetic_mean,aqi
0,2018-01-01,Arizona,Maricopa,Buckeye,BUCKEYE,Carbon monoxide,Parts per million,0.473684,7
1,2018-01-01,Ohio,Belmont,Shadyside,Shadyside,Carbon monoxide,Parts per million,0.263158,5
2,2018-01-01,Wyoming,Teton,Not in a city,Yellowstone National Park - Old Faithful Snow Lodge,Carbon monoxide,Parts per million,0.111111,2
3,2018-01-01,Pennsylvania,Philadelphia,Philadelphia,North East Waste (NEW),Carbon monoxide,Parts per million,0.3,3
4,2018-01-01,Iowa,Polk,Des Moines,CARPENTER,Carbon monoxide,Parts per million,0.215789,3
5,2018-01-01,Hawaii,Honolulu,Not in a city,Kapolei,Carbon monoxide,Parts per million,0.994737,14
6,2018-01-01,Hawaii,Honolulu,Not in a city,Kapolei,Carbon monoxide,Parts per million,0.2,2
7,2018-01-01,Pennsylvania,Erie,Erie,,Carbon monoxide,Parts per million,0.2,2
8,2018-01-01,Hawaii,Honolulu,Honolulu,Honolulu,Carbon monoxide,Parts per million,0.4,5
9,2018-01-01,Colorado,Larimer,Fort Collins,Fort Collins - CSU - S. Mason,Carbon monoxide,Parts per million,0.3,6
10,2018-01-01,Minnesota,Dakota,Rosemount,Flint Hills Refinery 420,Carbon monoxide,Parts per million,0.247368,3
11,2018-01-01,Indiana,Marion,Indianapolis,Indpls.- Illinois St.,Carbon monoxide,Parts per million,0.542105,8
12,2018-01-01,Ohio,Hamilton,Cincinnati,Taft NCore,Carbon monoxide,Parts per million,0.252632,3
13,2018-01-01,Arizona,Maricopa,Mesa,MESA,Carbon monoxide,Parts per million,0.505263,10
14,2018-01-01,Missouri,Jackson,Kansas City,"Blue Ridge, I-70",Carbon monoxide,Parts per million,0.233333,5
15,2018-01-01,Connecticut,Hartford,Hartford,Huntley Place-Hartford,Carbon monoxide,Parts per million,0.222222,5
16,2018-01-01,California,San Bernardino,Ontario,Ontario Near Road (Etiwanda),Carbon monoxide,Parts per million,0.747368,11
17,2018-01-01,Nevada,Washoe,Reno,Reno3,Carbon monoxide,Parts per million,0.4,7
18,2018-01-01,California,Sacramento,Arden-Arcade,Sacramento-Del Paso Manor,Carbon monoxide,Parts per million,0.752632,16
19,2018-01-01,Arizona,Pima,Tucson,CHILDREN'S PARK NCore,Carbon monoxide,Parts per million,0.331579,7
20,2018-01-01,Virginia,Roanoke,Vinton,East Vinton Elementary School,Carbon monoxide,Parts per million,0.1,1
21,2018-01-01,Iowa,Linn,Cedar Rapids,Public Health,Carbon monoxide,Parts per million,0.1,1
22,2018-01-01,Ohio,Stark,Canton,Canton,Carbon monoxide,Parts per million,0.394737,6
23,2018-01-01,Rhode Island,Providence,Providence,Near Rd,Carbon monoxide,Parts per million,0.405882,6
24,2018-01-01,Texas,Harris,Houston,Houston North Loop,Carbon monoxide,Parts per million,0.247368,3
25,2018-01-01,Nevada,Clark,Las Vegas,Sunrise Acres,Carbon monoxide,Parts per million,1.805263,41
26,2018-01-01,California,Orange,La Habra,La Habra,Carbon monoxide,Parts per million,0.673684,13
27,2018-01-01,California,Alameda,Not in a city,Berkeley- Aquatic Park,Carbon monoxide,Parts per million,1.088889,15
28,2018-01-01,Illinois,Cook,Northbrook,NORTHBROOK WATER PLANT,Carbon monoxide,Parts per million,0.421053,6
29,2018-01-01,Kansas,Wyandotte,Kansas City,JFK,Carbon monoxide,Parts per million,0.136842,2
30,2018-01-01,Maryland,Baltimore,Essex,Essex,Carbon monoxide,Parts per million,0.184211,2
31,2018-01-01,Minnesota,Hennepin,Minneapolis,Near Road I-35/I-94,Carbon monoxide,Parts per million,0.273684,3
32,2018-01-01,New Jersey,Bergen,Fort Lee,Fort Lee Near Road,Carbon monoxide,Parts per million,0.338889,5
33,2018-01-01,California,Los Angeles,Lancaster,Lancaster-Division Street,Carbon monoxide,Parts per million,0.394737,7
34,2018-01-01,California,Fresno,Fresno,Fresno - Garland,Carbon monoxide,Parts per million,1.0,15
35,2018-01-01,Minnesota,Anoka,Blaine,Anoka County Airport,Carbon monoxide,Parts per million,0.2,2
36,2018-01-01,Massachusetts,Suffolk,Boston,VON HILLERN ST,Carbon monoxide,Parts per million,0.252632,3
37,2018-01-01,Maine,Cumberland,Portland,PDO - Portland Deering Oaks,Carbon monoxide,Parts per million,0.168421,3
38,2018-01-01,Idaho,Ada,Not in a city,Meridian - St. Luke's,Carbon monoxide,Parts per million,0.352632,6
39,2018-01-01,Florida,Orange,Winter Park,WINTER PARK,Carbon monoxide,Parts per million,0.6,8
