passenger_count,trip_distance,fare_amount,tip_amount,tipper
3,0.47,12.894194379060464,1.36,1
3,2.3,13.0,2.76,1
1,8.32,25.5,5.0,0
2,0.95,12.894194379060464,1.02,0
1,0.66,12.894194379060464,1.0,0
1,3.8,14.5,3.15,1
1,2.4,12.894194379060464,3.05,1
2,4.24,22.5,4.66,1
1,1.77,12.894194379060464,0.0,0
1,2.4,15.0,3.25,1
1,2.5,12.894194379060464,0.0,0
3,15.2,42.5,5.0,0
2,2.5,12.894194379060464,1.5,0
1,0.99,12.894194379060464,3.0,1
2,2.2,12.894194379060464,1.6,0
2,3.3,22.0,4.75,1
1,1.13,12.894194379060464,0.0,0
1,0.43,12.894194379060464,0.96,1
1,1.72,12.894194379060464,0.0,0
1,3.2,16.0,2.0,0
6,10.01,29.0,8.89,1
1,0.8,12.894194379060464,2.3,1
1,1.35,12.894194379060464,1.0,0
5,3.85,21.5,0.0,0
5,1.6,12.894194379060464,0.0,0
1,4.2,21.0,0.0,0
1,2.1,12.894194379060464,1.25,0
1,0.78,13.0,2.96,1
5,0.74,12.894194379060464,1.16,1
4,0.99,12.894194379060464,1.0,0
1,1.3,12.894194379060464,0.0,0
6,2.21,12.894194379060464,1.7,0
3,1.9,12.894194379060464,2.0,0
1,1.32,12.894194379060464,1.1,0
2,0.5,12.894194379060464,0.0,0
1,4.93,20.0,2.0,0
1,1.4,12.894194379060464,1.75,1
1,2.52,18.0,3.96,1
1,2.69,12.894194379060464,0.0,0
1,1.5,12.894194379060464,1.0,0
1,1.36,12.894194379060464,2.26,1
1,1.52,12.894194379060464,2.46,1
1,4.5,14.5,0.0,0
1,13.61,55.0,11.16,1
3,4.5,19.0,0.0,0
1,1.1,12.894194379060464,1.65,1
1,1.29,12.894194379060464,1.46,1
2,1.54,12.894194379060464,0.0,0
2,1.3,12.894194379060464,0.0,0
1,1.0,12.894194379060464,1.55,1
1,1.3,12.894194379060464,1.95,1
1,0.7,12.894194379060464,0.0,0
2,1.1,12.894194379060464,2.0,1
1,1.24,12.894194379060464,1.56,1
1,8.18,26.0,5.36,1
1,1.7,12.894194379060464,1.0,0
1,1.36,12.894194379060464,1.76,1
1,2.19,12.894194379060464,0.0,0
1,1.25,12.894194379060464,1.96,1
1,1.42,12.894194379060464,2.82,1
1,0.45,12.894194379060464,0.0,0
1,6.7,20.0,0.0,0
1,2.3,12.894194379060464,2.3,1
1,1.15,12.894194379060464,1.56,1
2,0.68,12.894194379060464,0.0,0
1,15.89,53.0,10.0,0
4,5.04,21.0,0.0,0
1,1.46,12.894194379060464,3.69,1
1,1.0,12.894194379060464,0.0,0
1,0.0,12.894194379060464,0.0,0
1,18.93,52.0,0.0,0
2,0.6,12.894194379060464,0.0,0
1,15.48,45.0,8.0,0
1,1.1,12.894194379060464,0.0,0
1,3.8,15.0,0.0,0
1,6.02,19.5,0.0,0
1,1.8,12.894194379060464,0.0,0
1,1.74,12.894194379060464,1.76,1
1,0.2,12.894194379060464,0.0,0
1,2.06,12.894194379060464,2.16,1
1,1.2,12.894194379060464,0.0,0
1,0.51,12.894194379060464,0.0,0
1,1.65,12.894194379060464,0.0,0
1,0.6,12.894194379060464,0.0,0
5,1.12,12.894194379060464,0.0,0
3,3.7,25.5,0.0,0
1,1.52,12.894194379060464,0.0,0
1,1.36,12.894194379060464,1.66,1
1,5.0,21.0,0.0,0
1,0.76,12.894194379060464,0.0,0
1,2.15,12.894194379060464,2.16,1
1,0.67,12.894194379060464,1.0,0
2,1.7,14.0,0.0,0
2,5.2,18.5,0.0,0
1,0.48,12.894194379060464,0.0,0
1,2.1,12.894194379060464,1.85,1
1,2.16,15.5,3.26,1
1,1.4,12.894194379060464,1.0,0
1,4.33,18.0,5.79,1
1,16.48,45.5,9.46,1
1,4.9,21.5,4.45,1
1,2.81,12.894194379060464,2.0,0
1,2.4,12.894194379060464,0.0,0
2,0.6,12.894194379060464,1.4,1
1,1.01,12.894194379060464,0.0,0
1,6.0,19.5,3.0,0
1,0.61,12.894194379060464,1.26,1
4,2.0,12.894194379060464,2.0,0
6,1.89,12.894194379060464,0.0,0
3,2.24,12.894194379060464,2.0,0
1,1.9,12.894194379060464,3.2,1
1,1.16,12.894194379060464,0.0,0
1,0.5,12.894194379060464,0.0,0
1,2.6,17.0,0.0,0
1,0.0,12.894194379060464,0.0,0
1,1.21,12.894194379060464,1.56,1
2,4.4,18.0,3.38,0
1,0.54,12.894194379060464,1.0,1
5,7.32,24.0,5.06,1
1,1.4,12.894194379060464,0.0,0
1,2.81,12.894194379060464,2.66,1
2,0.92,12.894194379060464,1.46,1
1,1.9,12.894194379060464,2.55,1
1,0.62,12.894194379060464,0.0,0
1,2.1,12.894194379060464,0.0,0
1,0.24,12.894194379060464,0.86,1
1,1.39,13.0,3.7,1
1,3.5,19.5,2.0,0
1,0.84,12.894194379060464,2.08,1
5,2.68,12.894194379060464,2.46,1
2,10.91,32.5,7.81,1
1,4.5,23.5,0.0,0
1,1.4,12.894194379060464,1.95,1
1,2.0,12.894194379060464,1.95,1
1,0.4,12.894194379060464,0.0,0
1,0.6,12.894194379060464,1.26,1
1,0.9,12.894194379060464,0.0,0
6,0.12,12.894194379060464,0.0,0
1,1.22,12.894194379060464,0.0,0
1,17.86,78.0,0.0,0
3,1.7,12.894194379060464,2.7,1
3,0.7,12.894194379060464,0.0,0
1,0.0,12.894194379060464,0.0,0
1,1.42,12.894194379060464,1.0,0
1,0.9,12.894194379060464,1.2,0
1,8.8,29.0,0.0,0
2,0.02,12.894194379060464,0.0,0
6,1.28,12.894194379060464,0.0,0
1,0.4,12.894194379060464,0.34,0
1,0.79,12.894194379060464,0.0,0
1,1.7,12.894194379060464,1.96,1
1,2.19,12.894194379060464,2.82,1
1,0.9,12.894194379060464,0.0,0
1,1.0,12.894194379060464,1.96,1
1,2.5,12.894194379060464,3.95,1
1,3.42,15.5,3.26,1
1,1.7,12.894194379060464,0.0,0
1,2.42,12.894194379060464,1.0,0
1,2.89,12.894194379060464,0.0,0
1,0.64,12.894194379060464,1.26,1
1,2.0,12.894194379060464,2.15,1
5,1.97,12.894194379060464,3.08,1
1,1.03,12.894194379060464,0.0,0
1,1.77,12.894194379060464,1.0,0
1,8.6,31.0,7.65,1
1,1.0,12.894194379060464,1.45,1
1,0.9,12.894194379060464,0.0,0
1,13.31,41.0,5.0,0
5,5.29,23.5,4.96,1
1,1.5,12.894194379060464,1.95,1
2,7.48,24.0,2.0,0
1,1.6,18.0,3.76,1
5,6.98,27.0,8.34,1
1,4.33,21.5,4.66,1
1,4.6,15.0,0.0,0
1,0.8,12.894194379060464,1.45,1
2,2.0,12.894194379060464,2.35,1
1,0.42,12.894194379060464,0.87,1
1,3.2,15.5,0.0,0
6,18.17,51.5,0.0,0
1,1.2,12.894194379060464,0.0,0
2,1.7,12.894194379060464,1.62,0
3,0.68,12.894194379060464,1.06,1
1,0.6,12.894194379060464,0.0,0
1,2.1,12.894194379060464,0.0,0
1,1.4,14.0,0.0,0
1,1.2,12.894194379060464,1.75,1
5,1.25,12.894194379060464,0.0,0
4,2.4,12.894194379060464,0.0,0
5,5.55,24.5,1.0,0
2,0.9,12.894194379060464,1.96,1
6,4.44,14.0,3.82,1
1,7.66,29.0,4.0,0
3,0.42,12.894194379060464,0.0,0
1,1.21,12.894194379060464,0.0,0
1,1.35,12.894194379060464,0.0,0
5,0.91,12.894194379060464,1.16,1
5,0.7,12.894194379060464,1.06,1
2,2.23,13.0,1.7,0
2,3.39,13.5,2.96,1
1,0.41,12.894194379060464,0.0,0
1,2.66,12.894194379060464,2.56,1
1,17.99,52.0,14.64,1
1,0.8,12.894194379060464,1.35,1
1,1.09,12.894194379060464,0.7,0
1,2.6,12.894194379060464,0.0,0
6,0.77,12.894194379060464,1.82,1
1,0.69,12.894194379060464,0.0,0
1,2.5,12.894194379060464,1.8,0
1,7.4,27.0,5.55,1
1,3.5,16.5,2.75,0
1,18.4,52.0,0.0,0
1,1.46,12.894194379060464,2.16,1
1,1.1,12.894194379060464,1.5,1
1,1.2,12.894194379060464,1.55,1
1,1.0,12.894194379060464,0.0,0
1,0.75,12.894194379060464,1.26,1
1,0.7,12.894194379060464,1.56,1
2,4.5,16.5,3.45,1
1,5.9,23.5,4.95,1
1,0.84,12.894194379060464,1.46,1
3,0.7,12.894194379060464,1.0,0
1,9.2,28.5,3.0,0
1,2.12,12.894194379060464,2.0,0
1,3.1,14.5,3.15,1
5,11.26,32.0,9.64,1
1,0.8,12.894194379060464,1.65,1
5,2.94,13.5,2.96,1
1,4.0,13.5,2.96,1
1,4.73,52.0,0.0,0
1,2.29,12.894194379060464,1.0,0
1,1.28,12.894194379060464,0.0,0
1,0.9,12.894194379060464,2.5,1
1,0.86,12.894194379060464,0.0,0
1,0.84,12.894194379060464,0.0,0
6,1.23,12.894194379060464,0.0,0
1,0.8,12.894194379060464,1.15,1
6,25.69,69.5,14.06,1
5,0.58,12.894194379060464,0.0,0
1,0.2,12.894194379060464,0.0,0
1,0.9,12.894194379060464,1.15,1
1,0.61,12.894194379060464,2.19,1
1,0.84,12.894194379060464,0.0,0
1,0.8,12.894194379060464,1.35,1
1,1.75,12.894194379060464,1.2,0
1,0.3,12.894194379060464,0.0,0
1,1.89,12.894194379060464,0.0,0
1,0.0,12.894194379060464,6.7,1
3,0.8,12.894194379060464,1.74,1
5,1.1,12.894194379060464,0.0,0
3,1.14,12.894194379060464,0.0,0
1,2.19,12.894194379060464,3.99,1
1,2.2,17.0,5.6,1
1,7.9,30.5,7.95,1
2,6.1,28.0,8.6,1
1,15.0,41.5,0.0,0
2,4.7,16.0,3.45,1
6,3.63,13.0,2.86,1
3,1.0,12.894194379060464,2.0,1
1,1.48,12.894194379060464,1.0,0
1,0.5,12.894194379060464,0.95,1
3,10.7,32.5,6.75,1
2,3.13,14.0,3.7,1
1,3.33,13.0,0.0,0
1,2.14,12.894194379060464,2.36,1
1,6.91,27.0,3.5,0
1,0.7,12.894194379060464,0.0,0
2,2.53,12.894194379060464,3.45,1
1,0.25,12.894194379060464,0.96,1
1,1.41,12.894194379060464,1.0,0
1,2.5,15.5,3.25,1
1,3.15,15.5,3.26,1
2,18.21,52.0,0.0,0
1,1.4,12.894194379060464,0.0,0
1,3.4,14.5,3.15,1
1,1.82,12.894194379060464,2.0,1
1,0.8,12.894194379060464,1.36,1
2,1.93,12.894194379060464,2.66,1
1,0.8,12.894194379060464,0.0,0
1,0.98,12.894194379060464,0.7,0
1,4.34,17.0,0.0,0
1,5.2,18.0,2.0,0
2,0.9,12.894194379060464,0.0,0
1,0.69,12.894194379060464,1.06,1
1,1.9,12.894194379060464,0.0,0
1,1.4,12.894194379060464,1.76,1
2,1.76,12.894194379060464,2.46,1
1,0.98,12.894194379060464,0.0,0
1,2.0,12.894194379060464,2.25,1
1,3.5,16.0,0.0,0
1,1.6,12.894194379060464,0.0,0
1,17.27,52.0,0.0,0
1,0.4,12.894194379060464,1.0,0
1,0.0,34.0,6.96,1
1,2.03,12.894194379060464,2.26,1
1,0.0,12.894194379060464,0.0,0
1,0.83,12.894194379060464,1.86,1
1,0.7,12.894194379060464,1.0,0
1,1.67,12.894194379060464,0.0,0
2,1.2,12.894194379060464,1.0,0
2,3.8,14.5,2.0,0
3,2.0,12.894194379060464,1.5,0
1,0.73,12.894194379060464,0.0,0
1,0.56,12.894194379060464,0.0,0
1,1.0,12.894194379060464,0.0,0
2,4.49,16.5,0.0,0
5,1.14,12.894194379060464,2.0,0
3,5.15,24.5,5.06,1
1,0.86,12.894194379060464,0.0,0
5,3.01,12.894194379060464,1.5,0
1,2.34,12.894194379060464,2.16,1
6,2.25,13.5,0.0,0
1,0.5,12.894194379060464,0.0,0
4,0.9,12.894194379060464,2.0,1
1,0.92,12.894194379060464,1.66,1
1,2.1,12.894194379060464,1.5,0
1,2.2,12.894194379060464,1.7,0
2,1.55,12.894194379060464,1.0,0
1,2.5,13.0,2.76,1
5,0.77,12.894194379060464,0.94,1
1,12.9,39.0,0.0,0
1,0.7,12.894194379060464,0.0,0
1,1.5,12.894194379060464,1.45,1
1,0.6,12.894194379060464,0.0,0
1,10.12,29.0,9.02,1
1,1.5,12.894194379060464,0.0,0
1,1.0,12.894194379060464,1.8,1
1,0.8,12.894194379060464,1.35,1
1,3.23,13.0,0.0,0
2,0.6,12.894194379060464,1.55,1
1,4.2,18.0,5.75,1
1,1.07,12.894194379060464,0.0,0
2,1.8,16.0,3.36,1
2,0.94,12.894194379060464,0.87,0
1,0.8,12.894194379060464,1.95,1
1,13.26,38.5,0.0,0
1,5.3,26.0,0.0,0
1,1.14,12.894194379060464,1.0,0
1,12.0,35.5,0.0,0
1,3.2,12.894194379060464,2.65,1
1,0.5,12.894194379060464,0.0,0
5,0.45,12.894194379060464,0.0,0
1,0.7,12.894194379060464,1.75,1
6,18.34,52.0,5.0,0
1,5.14,24.5,6.32,1
1,1.72,14.0,4.0,1
1,5.15,20.5,5.0,1
5,2.27,20.5,3.0,0
6,0.36,12.894194379060464,0.96,1
1,8.89,28.0,5.86,1
1,0.4,12.894194379060464,0.0,0
1,1.46,12.894194379060464,1.0,0
1,4.39,16.5,0.0,0
5,1.7,12.894194379060464,0.0,0
4,2.1,12.894194379060464,0.0,0
1,2.71,13.5,2.86,1
1,3.05,17.0,4.45,1
1,1.0,12.894194379060464,2.04,1
1,2.8,12.894194379060464,0.0,0
1,3.7,17.5,0.0,0
1,0.8,12.894194379060464,1.25,1
1,2.0,12.894194379060464,2.45,1
1,1.0,12.894194379060464,0.0,0
1,0.7,12.894194379060464,0.0,0
1,1.36,12.894194379060464,0.0,0
1,1.3,12.894194379060464,0.0,0
1,1.3,12.894194379060464,0.0,0
1,1.6,13.0,2.75,1
1,0.92,12.894194379060464,1.25,0
1,2.26,12.894194379060464,1.96,1
1,1.86,12.894194379060464,0.0,0
1,0.91,12.894194379060464,1.36,1
1,1.14,12.894194379060464,1.25,0
2,2.4,15.5,0.0,0
1,2.16,13.0,0.0,0
1,2.0,12.894194379060464,1.0,0
1,0.84,12.894194379060464,1.0,0
1,7.0,22.0,4.55,1
1,1.15,12.894194379060464,1.0,0
1,0.8,12.894194379060464,0.0,0
1,2.2,12.894194379060464,2.45,1
6,6.17,24.5,5.06,1
1,1.1,12.894194379060464,0.0,0
3,2.34,12.894194379060464,5.95,1
1,2.2,12.894194379060464,2.45,1
1,6.7,20.0,4.26,1
1,8.3,28.5,2.7,0
2,2.65,13.5,2.96,1
1,0.58,12.894194379060464,1.06,1
1,1.2,12.894194379060464,0.0,0
1,2.56,12.894194379060464,2.06,1
1,1.6,12.894194379060464,0.0,0
1,18.65,52.0,10.56,1
6,2.74,12.894194379060464,3.2,1
1,2.38,12.894194379060464,2.0,0
1,0.0,52.0,11.71,1
5,1.56,12.894194379060464,0.0,0
1,1.7,12.894194379060464,2.7,1
1,0.4,12.894194379060464,0.0,0
2,0.47,12.894194379060464,0.0,0
1,2.45,12.894194379060464,3.2,1
2,1.08,12.894194379060464,1.0,0
1,1.93,12.894194379060464,2.26,1
1,0.85,12.894194379060464,1.26,1
1,1.5,12.894194379060464,0.0,0
1,2.6,13.0,0.0,0
2,0.95,12.894194379060464,1.0,0
1,1.26,12.894194379060464,0.0,0
1,0.9,12.894194379060464,0.0,0
1,17.76,52.0,11.71,1
3,2.03,12.894194379060464,1.0,0
2,2.23,13.0,2.76,1
1,1.3,12.894194379060464,1.65,1
1,1.0,12.894194379060464,1.1,0
1,2.2,13.5,0.0,0
1,2.7,16.0,5.0,1
1,2.1,12.894194379060464,0.0,0
1,4.2,18.0,4.0,1
1,3.7,14.5,3.15,1
1,1.3,12.894194379060464,1.0,0
5,1.03,13.5,2.86,1
1,1.0,12.894194379060464,1.1,0
1,1.3,12.894194379060464,1.5,0
1,0.89,12.894194379060464,0.0,0
6,0.66,12.894194379060464,1.46,1
1,1.16,12.894194379060464,1.25,1
1,1.33,12.894194379060464,0.0,0
1,0.58,12.894194379060464,1.16,1
1,1.6,12.894194379060464,1.2,0
1,2.46,12.894194379060464,1.0,0
1,0.3,12.894194379060464,0.95,1
1,1.93,12.894194379060464,2.26,1
1,7.74,22.5,0.0,0
1,1.2,12.894194379060464,1.65,1
1,1.33,12.894194379060464,1.5,0
5,0.6,12.894194379060464,1.0,1
3,2.11,12.894194379060464,0.0,0
2,4.2,17.0,0.0,0
2,0.7,12.894194379060464,0.0,0
1,3.1,15.0,0.0,0
1,1.19,12.894194379060464,0.0,0
1,2.23,12.894194379060464,2.16,1
1,0.9,12.894194379060464,1.0,0
3,1.2,12.894194379060464,1.55,1
1,1.0,12.894194379060464,3.3,1
1,0.8,12.894194379060464,0.75,0
1,2.3,12.894194379060464,0.0,0
1,0.3,12.894194379060464,0.0,0
1,1.2,12.894194379060464,0.0,0
5,4.65,18.0,0.0,0
1,5.9,18.5,3.85,1
1,2.02,12.894194379060464,0.0,0
1,7.79,25.0,5.26,1
2,0.8,12.894194379060464,0.0,0
1,4.0,18.0,0.0,0
1,0.78,12.894194379060464,0.0,0
1,1.15,12.894194379060464,0.0,0
1,3.61,14.5,3.95,1
1,1.67,12.894194379060464,0.0,0
1,0.44,12.894194379060464,1.06,1
1,1.3,12.894194379060464,0.0,0
3,1.73,12.894194379060464,1.76,1
1,2.3,14.0,0.0,0
4,4.43,15.0,3.16,1
2,3.08,13.5,2.0,0
5,8.69,27.0,3.44,0
1,2.39,12.894194379060464,1.8,0
1,0.85,12.894194379060464,0.0,0
1,1.06,12.894194379060464,2.26,1
1,5.06,20.0,0.0,0
1,0.0,12.894194379060464,3.0,1
3,1.63,12.894194379060464,0.0,0
1,1.1,12.894194379060464,1.25,1
2,8.33,28.5,0.0,0
3,1.8,12.894194379060464,2.15,1
1,3.1,16.5,0.0,0
1,2.0,12.894194379060464,3.54,1
1,13.79,49.5,0.0,0
1,1.7,12.894194379060464,4.0,1
1,8.18,26.0,6.0,1
6,0.51,12.894194379060464,0.0,0
1,2.3,12.894194379060464,2.65,1
1,1.8,12.894194379060464,1.75,1
1,5.6,23.5,4.85,1
1,4.2,16.0,0.0,0
1,0.8,12.894194379060464,1.26,1
5,1.42,12.894194379060464,0.0,0
1,4.8,21.5,4.65,1
2,3.32,13.0,2.76,1
1,2.78,12.894194379060464,0.0,0
2,1.1,12.894194379060464,0.0,0
1,0.6,12.894194379060464,0.0,0
2,0.73,12.894194379060464,1.26,1
4,3.0,12.894194379060464,0.0,0
1,3.34,15.0,4.37,1
1,9.8,29.0,7.05,1
1,0.88,12.894194379060464,0.0,0
3,4.65,19.5,0.0,0
1,3.7,15.0,0.0,0
2,2.8,14.5,3.05,1
2,1.13,12.894194379060464,1.56,1
1,1.11,12.894194379060464,1.66,1
1,0.67,12.894194379060464,1.0,0
1,4.1,26.0,3.0,0
1,3.7,15.5,3.25,1
1,1.6,12.894194379060464,1.0,0
2,0.62,12.894194379060464,1.16,1
2,10.1,34.0,0.0,0
1,0.5,12.894194379060464,1.15,1
2,1.92,12.894194379060464,1.0,0
2,5.2,17.5,0.0,0
1,3.6,21.5,5.0,1
2,1.0,12.894194379060464,1.0,0
5,1.08,12.894194379060464,0.0,0
1,4.81,21.0,4.36,1
2,16.97,52.0,11.71,1
1,0.79,12.894194379060464,0.0,0
1,1.67,12.894194379060464,2.46,1
1,1.8,12.894194379060464,0.0,0
1,2.8,14.0,3.0,1
1,1.36,12.894194379060464,1.47,0
1,1.14,12.894194379060464,0.0,0
1,2.85,21.5,5.58,1
1,1.2,12.894194379060464,2.9,1
1,0.7,12.894194379060464,0.0,0
1,1.87,12.894194379060464,2.94,1
3,1.26,12.894194379060464,1.76,1
1,0.6,12.894194379060464,1.2,1
1,1.5,12.894194379060464,1.0,0
1,1.0,12.894194379060464,0.0,0
1,1.4,12.894194379060464,1.75,1
1,0.6,12.894194379060464,0.0,0
1,2.8,12.894194379060464,2.16,1
1,1.48,12.894194379060464,2.46,1
1,1.13,12.894194379060464,0.0,0
1,0.96,12.894194379060464,1.2,0
1,0.6,12.894194379060464,1.55,1
1,1.4,12.894194379060464,1.85,1
1,0.5,12.894194379060464,0.95,1
2,1.22,12.894194379060464,1.82,1
1,20.8,52.0,5.85,0
1,1.6,12.894194379060464,0.0,0
1,21.6,52.0,12.6,1
5,8.97,27.5,5.0,0
2,1.0,12.894194379060464,1.0,0
1,0.46,12.894194379060464,0.72,0
1,0.3,12.894194379060464,0.0,0
1,7.1,25.0,3.0,0
1,0.67,12.894194379060464,1.0,0
1,2.04,18.5,3.86,1
1,1.98,12.894194379060464,0.0,0
1,9.21,32.5,0.0,0
1,1.0,12.894194379060464,0.0,0
1,0.8,12.894194379060464,2.0,1
2,5.67,19.5,4.16,1
1,0.6,12.894194379060464,0.0,0
1,0.53,12.894194379060464,1.58,1
2,1.19,12.894194379060464,1.96,1
1,0.79,12.894194379060464,2.06,1
1,1.46,12.894194379060464,0.0,0
1,5.12,21.0,0.0,0
1,0.79,12.894194379060464,0.0,0
1,2.2,12.894194379060464,0.0,0
4,1.3,12.894194379060464,0.0,0
1,1.8,12.894194379060464,0.0,0
1,4.87,20.5,2.23,0
1,11.8,36.0,9.3,1
1,6.78,22.5,5.95,1
1,1.9,13.5,2.0,0
