passenger_count,trip_distance,fare_amount,tip_amount,tipper
6,3.34,13.0,2.76,1
1,1.8,16.0,4.0,1
1,1.0,12.894194379060464,1.45,1
1,3.7,20.5,6.39,1
1,4.37,16.5,0.0,0
6,2.3,12.894194379060464,2.06,1
1,12.83,47.5,9.86,1
1,2.98,16.0,1.78,0
1,1.2,12.894194379060464,0.0,0
1,1.6,13.0,2.75,1
1,1.77,12.894194379060464,2.46,1
2,18.9,52.0,14.58,1
1,3.0,15.0,3.35,1
1,2.39,12.894194379060464,2.16,1
1,3.3,17.5,4.55,1
1,5.93,19.0,3.0,0
1,3.6,12.894194379060464,2.85,1
2,1.71,12.894194379060464,0.0,0
2,0.63,12.894194379060464,0.0,0
2,2.77,12.894194379060464,3.2,1
1,1.1,12.894194379060464,0.0,0
1,12.3,68.25,12.0,0
1,0.52,12.894194379060464,1.0,0
1,1.7,12.894194379060464,2.05,1
1,0.9,12.894194379060464,1.25,1
1,1.72,12.894194379060464,2.79,1
1,2.7,13.0,2.85,1
1,0.85,12.894194379060464,0.0,0
1,2.3,12.894194379060464,2.35,1
1,30.83,80.0,18.56,1
1,2.3,12.894194379060464,1.77,0
4,1.5,12.894194379060464,0.0,0
1,14.32,40.5,0.0,0
1,2.9,15.5,3.45,1
1,1.7,12.894194379060464,1.7,0
5,2.69,12.894194379060464,0.0,0
1,0.6,12.894194379060464,0.0,0
1,2.11,12.894194379060464,2.46,1
4,0.4,12.894194379060464,0.72,0
1,1.28,12.894194379060464,5.0,1
3,1.23,12.894194379060464,2.26,1
1,2.0,12.894194379060464,1.95,1
1,4.52,16.5,2.0,0
2,1.12,12.894194379060464,1.82,1
1,0.59,12.894194379060464,1.36,1
1,1.5,12.894194379060464,2.55,1
4,1.71,12.894194379060464,0.0,0
4,8.69,31.5,6.56,1
6,2.69,12.894194379060464,0.0,0
1,0.42,12.894194379060464,0.86,1
2,7.37,25.5,0.0,0
1,2.2,12.894194379060464,0.0,0
2,2.6,17.5,0.0,0
1,0.8,12.894194379060464,1.26,1
1,2.9,16.0,0.0,0
1,11.07,32.5,6.76,1
1,2.7,15.5,4.05,1
2,2.51,12.894194379060464,3.39,1
1,0.78,12.894194379060464,0.0,0
1,0.85,12.894194379060464,1.59,1
5,0.38,12.894194379060464,1.16,1
1,1.15,12.894194379060464,1.76,1
1,7.16,21.0,0.0,0
6,0.22,21.5,0.0,0
1,0.7,12.894194379060464,1.15,1
6,0.71,12.894194379060464,0.0,0
1,3.1,28.0,5.76,1
2,2.96,13.0,2.86,1
1,0.8,12.894194379060464,1.0,0
1,0.96,12.894194379060464,0.0,0
4,1.9,12.894194379060464,0.0,0
4,0.97,12.894194379060464,0.0,0
2,0.95,12.894194379060464,1.0,1
4,1.02,12.894194379060464,1.46,1
1,0.78,12.894194379060464,1.0,1
6,1.16,12.894194379060464,1.95,1
3,4.3,17.5,2.22,0
1,1.9,12.894194379060464,2.55,1
2,11.2,31.5,6.56,1
1,2.0,12.894194379060464,0.0,0
2,1.02,12.894194379060464,1.86,1
3,5.11,16.5,5.34,1
1,0.96,12.894194379060464,0.0,0
1,1.9,12.894194379060464,1.86,1
1,1.6,12.894194379060464,1.0,0
1,0.4,12.894194379060464,0.0,0
1,0.9,12.894194379060464,1.0,1
1,4.96,17.0,3.66,1
1,4.9,16.0,5.3,1
1,9.6,30.5,0.0,0
1,2.9,17.5,0.0,0
2,1.62,12.894194379060464,1.0,0
1,13.8,39.0,9.1,1
1,1.7,14.5,1.0,0
2,0.88,12.894194379060464,0.5,0
1,1.46,12.894194379060464,1.24,0
1,1.66,12.894194379060464,1.2,0
1,1.63,12.894194379060464,2.16,1
1,10.0,34.5,7.05,1
1,1.42,12.894194379060464,0.0,0
1,0.72,12.894194379060464,0.0,0
3,9.67,31.0,8.08,1
1,2.3,12.894194379060464,2.75,1
1,4.7,18.5,3.0,0
1,3.5,19.5,0.0,0
1,2.7,12.894194379060464,0.0,0
2,1.07,12.894194379060464,0.0,0
2,2.3,13.0,0.0,0
1,6.93,24.0,0.0,0
6,2.95,13.5,0.0,0
1,18.0,52.0,0.0,0
6,6.25,22.5,4.66,1
1,1.8,12.894194379060464,0.0,0
6,0.63,12.894194379060464,1.16,1
2,1.3,12.894194379060464,0.0,0
6,3.22,12.894194379060464,3.32,1
2,1.09,12.894194379060464,1.0,0
1,0.79,12.894194379060464,0.0,0
1,1.1,12.894194379060464,1.35,1
1,2.73,20.5,4.46,1
1,1.9,12.894194379060464,0.0,0
5,2.85,12.894194379060464,1.0,0
1,1.8,12.894194379060464,0.0,0
2,0.83,12.894194379060464,0.7,0
1,4.2,22.0,4.56,1
1,1.6,12.894194379060464,0.0,0
1,0.5,12.894194379060464,2.0,1
1,1.71,12.894194379060464,2.26,1
1,0.0,20.0,0.0,0
1,1.06,12.894194379060464,0.0,0
2,4.1,17.5,3.75,1
1,1.08,12.894194379060464,1.17,0
1,2.6,13.0,0.0,0
1,0.91,12.894194379060464,0.0,0
1,0.95,12.894194379060464,2.0,1
1,1.71,12.894194379060464,1.0,0
1,2.62,12.894194379060464,0.0,0
1,9.0,28.0,0.0,0
1,0.67,12.894194379060464,1.06,1
2,1.1,12.894194379060464,1.45,1
2,2.14,12.894194379060464,0.0,0
1,1.4,12.894194379060464,1.45,1
1,1.0,12.894194379060464,0.0,0
1,1.84,12.894194379060464,0.0,0
1,0.55,12.894194379060464,1.2,1
1,0.3,12.894194379060464,0.0,0
1,1.39,12.894194379060464,2.2,1
1,1.5,12.894194379060464,0.0,0
1,1.1,12.894194379060464,0.0,0
1,0.5,12.894194379060464,1.05,1
1,1.57,12.894194379060464,2.66,1
2,1.03,12.894194379060464,1.26,1
5,11.51,39.5,0.0,0
2,0.65,12.894194379060464,0.0,0
1,2.8,20.5,3.2,0
2,6.14,24.5,0.0,0
1,15.6,51.5,11.6,1
1,1.5,12.894194379060464,3.95,1
1,7.0,23.0,3.0,0
1,2.6,12.894194379060464,3.0,1
1,3.1,15.0,1.0,0
1,0.23,52.0,0.0,0
1,2.1,12.894194379060464,2.65,1
2,1.97,12.894194379060464,0.0,0
1,4.67,17.0,3.56,1
1,4.31,17.5,3.76,1
1,0.84,12.894194379060464,0.0,0
2,2.34,12.894194379060464,2.36,1
2,1.04,12.894194379060464,0.0,0
6,2.84,14.0,2.96,1
2,0.3,12.894194379060464,0.0,0
1,3.9,19.0,0.0,0
1,5.27,22.0,0.0,0
1,3.3,13.5,2.85,1
1,16.9,71.5,0.0,0
1,1.4,12.894194379060464,1.65,1
1,18.05,69.5,0.0,0
